item,name,party,partyLabel,constituency,constituencyLabel,startDate,endDate,gender,psid
Q105071475,Joel Matiza,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,male,Q105071475-26DDDCEE-F32E-4442-8F4E-BE5D9EA9C927
Q111281516,Abednico Bhebhe,Q2582118,,,,2005-04-12,2008-03-28,male,Q111281516-4951150B-1D55-431E-8B13-A3DE873F4B81
Q111281517,Abednico Ncube,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,male,Q111281517-6AC3F712-5FFA-46CC-AF35-9E71585DEF7F
Q111281518,Abigail Damasane,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,female,Q111281518-D5C7F7C8-4DB7-42DD-915F-BF0B0293F458
Q111281624,David Chapfika,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,male,Q111281624-C9A5BEF5-12FA-46A1-883C-C173D0D4CB04
Q111281636,Enock Porusingazi,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,male,Q111281636-AEC2F58D-49EF-478A-9C4F-96848AD00872
Q111281648,Gift Chimanikire,Q2582118,,,,2005-04-12,2008-03-28,male,Q111281648-40D2255D-B12C-4BE9-8BA6-F3CB993F2654
Q111281655,Innocent Gonese,Q2582118,,,,2005-04-12,2008-03-28,male,Q111281655-6388B7F9-FBBC-41D6-B2FE-8461C631A54F
Q111281673,Kennedy Matimba,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,male,Q111281673-5BA9E953-9D6D-4504-A7B9-D83C3DA04564
Q111281680,Leonard Chikomba,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,male,Q111281680-39847716-8E04-463D-A62D-8F27B21E40F3
Q111281682,Lovemore Matuke,Q1910161,ZANU–PF,,,2005-11-26,2008-03-28,male,Q111281682-CFCEFED0-2858-4E2B-ABCF-87EA97FBBF94
Q111281721,Paul Madzore,Q2582118,,,,2005-04-12,2008-03-28,male,Q111281721-7FD53E88-6487-41B4-A37B-A1B60A29CE3A
Q111281731,Ray Kaukonde,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,male,Q111281731-9AF08610-4653-45C5-8127-ECAD190FB41C
Q111281731,Ray Kaukonde,Q1910161,ZANU–PF,,,2005-04-15,2008-03-28,male,Q111281731-A40C1E30-74F7-467F-A56A-399299E18EA4
Q111281751,Tapiwa Mashakada,Q2582118,,,,2005-04-12,2008-03-28,male,Q111281751-DD96D66D-9712-46E2-8AEB-AA9F7137C291
Q111281775,William Mutomba,Q1910161,ZANU–PF,,,2005-04-12,2008-03-28,male,Q111281775-F6540E48-B049-444C-9A31-2BE766C7CA6B
Q111281776,Willias Madzimure,Q2582118,,,,2005-04-12,2008-03-28,male,Q111281776-D161E846-33EA-4E1B-977F-52FB53BF2A4A
Q111282849,Amos Chibaya,Q2582118,,,,2005-04-12,2008-03-28,,Q111282849-119ADF38-F0E3-44FA-AA95-C5449328630B
