@@,item,name,party,partylabel,startdate
->,Q111312668->NULL,Aaron Baloyi,Q1910161,ZANU–PF,2005-04-12
->,Q111281516->NULL,Abednico Bhebhe,Q2582118,NULL->MDC,2005-04-12
->,Q111312669->NULL,Abednico Malinga,Q2582118,NULL->MDC,2005-04-12
->,Q111281517->NULL,Abednico Ncube,Q1910161,ZANU–PF,2005-04-12
->,Q111281518->NULL,Abigail Damasane,Q1910161,ZANU–PF,2005-04-12
->,Q111282849->NULL,Amos Chibaya,Q2582118,NULL->MDC,2005-04-12
->,Q111283552->NULL,Angelina Masuku,Q1910161,ZANU–PF,2005-04-12
->,Q111312670->NULL,Aqualinah Katsande,Q1910161,ZANU–PF,2005-04-12
->,Q4926322,Blessing Chebundo,Q2582118,NULL->MDC,2005-04-12
->,Q111312671->NULL,Canisia Sathiwa,Q1910161,ZANU–PF,2005-04-12
->,Q111312672->NULL,Cecilia Gwachirwa,Q1910161,ZANU–PF,2005-04-12
->,Q111312673->NULL,Celine Pote,Q1910161,ZANU–PF,2005-04-12
->,Q111312674->NULL,Charles Majange,Q1910161,ZANU–PF,2005-04-12
->,Q111312675->NULL,Chenhamo Chimutingwende,Q1910161,ZANU–PF,2005-04-12
->,Q111312676->NULL,Christopher Malaba,Q1910161,ZANU–PF,2005-04-12
->,Q111312677->NULL,Christopher Mushowe,Q1910161,ZANU–PF,2005-04-12
->,Q111312678->NULL,Claudius Makova,Q1910161,ZANU–PF,2005-04-12
->,Q111312679->NULL,Cyprian Malisa,Q1910161,ZANU–PF,2005-04-12
->,Q111312680->NULL,Daniel Mackenzie Ncube,Q1910161,ZANU–PF,2005-04-12
->,Q111281624->NULL,David Chapfika,Q1910161,ZANU–PF,2005-04-12
->,Q5232494,David Coltart,Q2582118,NULL->MDC,2005-04-12
---,Q19144163,David Karimanzira,Q1910161,ZANU–PF,2006
->,Q111312681->NULL,Editor Matamisa,Q2582118,NULL->MDC,2005-04-12
->,Q111312682->NULL,Edward Mkhosi,Q2582118,NULL->MDC,2005-04-12
->,Q111312683->NULL,Edwin Muguti,Q1910161,ZANU–PF,2005-04-12
->,Q111291937,Edwin Mushoriwa,Q2582118,NULL->MDC,2005-04-12
->,Q111313421->NULL,Emmanuel Chisvuure,Q1146616,MDC–T,2006-05-20
->,Q111312684->NULL,Enita Maziriri,Q1910161,ZANU–PF,2005-04-12
->,Q111281636->NULL,Enock Porusingazi,Q1910161,ZANU–PF,2005-04-12
->,Q111312685->NULL,Ephraim Masawi,Q1910161,ZANU–PF,2005-04-12
->,Q111312686->NULL,Esaph Mdhlongwa,Q2582118,NULL->MDC,2005-04-12
->,Q111312687->NULL,Esther Nyauchi,Q1910161,ZANU–PF,2005-04-12
->,Q5446764,Fidelis Mhashu,Q2582118,NULL->MDC,2005-04-12
->,Q5458776,Fletcher Dulini,Q2582118,NULL->MDC,2005-04-12
->,Q111312689->NULL,Flora Bhuka,Q1910161,ZANU–PF,2005-04-12
->,Q111283850->NULL,Fortune Charumbira,Q1910161,ZANU–PF,2005-04-12
->,Q111312690->NULL,Freddy Kadzama,Q1910161,ZANU–PF,2005-04-12
->,Q111312691->NULL,George Chimombe,Q1910161,ZANU–PF,2005-04-12
->,Q5559396,Gibson Sibanda,Q2582118,NULL->MDC,2005-04-12
->,Q111281648->NULL,Gift Chimanikire,Q2582118,NULL->MDC,2005-04-12
->,Q111312692->NULL,Gilbert Shoko,Q2582118,NULL->MDC,2005-04-12
->,Q5561692,Giles Mutsekwa,Q2582118,NULL->MDC,2005-04-12
->,Q111291953->NULL,Goodrich Chimbaira,Q2582118,NULL->MDC,2005-04-12
->,Q16151660,Ignatious Chombo->Ignatius Chombo,Q1910161,ZANU–PF,2005-04-12
->,Q111281655->NULL,Innocent Gonese,Q2582118,NULL->MDC,2005-04-12
->,Q111312693->NULL,Isaiah Shumba,Q1910161,ZANU–PF,2005-04-12
->,Q111312694->NULL,Jaison Machaya,Q1910161,ZANU–PF,2005-04-12
->,Q111312695->NULL,Jealous Sansole,Q2582118,NULL->MDC,2005-04-12
->,Q86997401,Job Sikhala,Q2582118,NULL->MDC,2005-04-12
->,Q6213465,Joel Gabuza,Q2582118,NULL->MDC,2005-04-12
->,Q105071475,Joel Matiza->Joel Biggie Matiza,Q1910161,ZANU–PF,2005-04-12
->,Q111312696->NULL,Jonathan Chandengenda,Q1910161,ZANU–PF,2005-04-12
->,Q3183430,Jonathan Moyo,Q327591,சுயே->Independent,2005-04-12
