@@,item,name,party,partylabel,startdate
->,Q111312697->NULL,Jorum Gumbo,Q1910161,ZANU–PF,2005-04-12
->,Q111312698->NULL,Josphat Madubeko,Q1910161,ZANU–PF,2005-04-12
->,Q111313423->NULL,Kallisto Gwanetsa,Q1910161,ZANU–PF,2007-02-17
->,Q111281673->NULL,Kennedy Matimba,Q1910161,ZANU–PF,2005-04-12
->,Q111312699->NULL,Kenneth Mutiwekuziva,Q1910161,ZANU–PF,2005-04-12
->,Q25697807->NULL,Kumbirai Kangai,Q1910161,ZANU–PF,2005-04-12
->,Q111312700->NULL,Leo Mugabe,Q1910161,ZANU–PF,2005-04-12
->,Q111281680->NULL,Leonard Chikomba,Q1910161,ZANU–PF,2005-04-12
->,Q111313424->NULL,Livingstone Chineka,Q1910161,ZANU–PF,2007-06-09
->,Q111281682->NULL,Lovemore Matuke,Q1910161,ZANU–PF,2005-11-26
->,Q3264301,Lovemore Moyo,Q2582118,NULL->MDC,2005-04-12
->,Q111295081->NULL,Lovemore Mupukuta,Q1910161,ZANU–PF,2005-04-12
->,Q111312701->NULL,Luke Mushore,Q1910161,ZANU–PF,2005-04-12
->,Q111312703->NULL,Mabel Mawere,Q1910161,ZANU–PF,2005-04-12
->,Q6848219,Mike Nyambuya->Michael Nyambuya,Q1910161,ZANU–PF,2005-04-12
->,Q111312704->NULL,Milton Gwetu,Q2582118,NULL->MDC,2005-04-12
->,Q111312705->NULL,Morris Sakabuya,Q1910161,ZANU–PF,2005-04-12
->,Q6915903,Moses Ndlovu,Q2582118,NULL->MDC,2005-04-12
->,Q6938737,Murisi Zwizwai,Q2582118,NULL->MDC,2005-04-12
->,Q16207702,Nelson Chamisa,Q2582118,NULL->MDC,2005-04-12
->,Q111312706->NULL,Nelson Samkange,Q1910161,ZANU–PF,2005-04-12
->,Q111312707->NULL,Njabuliso Mguni,Q2582118,NULL->MDC,2005-04-12
->,Q7048451,Nomalanga Khumalo,Q2582118,NULL->MDC,2005-04-12
->,Q111295097->NULL,Obert Matshalaga,Q1910161,ZANU–PF,2005-04-12
->,Q111312708->NULL,Patrick Mudzimurema,Q1910161,ZANU–PF,2005-04-12
->,Q111312709->NULL,Paul Kadzima,Q1910161,ZANU–PF,2005-04-12
->,Q111281721->NULL,Paul Madzore,Q2582118,NULL->MDC,2005-04-12
->,Q7155466,Paurina Mpariwa,Q2582118,NULL->MDC,2005-04-12
->,Q111295099->NULL,Pearson Mungofa,Q2582118,NULL->MDC,2005-04-12
->,Q111312710->NULL,Phineas Chihota,Q1910161,ZANU–PF,2005-04-12
->,Q7245611,Priscilla Misihairabwi-Mushonga,Q2582118,NULL->MDC,2005-04-12
->,Q111281731->NULL,Ray Kaukonde,Q1910161,ZANU–PF,2005-04-15
->,Q111281731->NULL,Ray Kaukonde,Q1910161,ZANU–PF,2005-04-12
->,Q111312711->NULL,Sabina Zinyemba,Q1910161,ZANU–PF,2005-04-12
->,Q111312712->NULL,Sandra Machirori,Q1910161,ZANU–PF,2005-04-12
->,Q111312713->NULL,Shadreck Chipanga,Q1910161,ZANU–PF,2005-04-12
->,Q111312714->NULL,Show Bushu,Q1910161,ZANU–PF,2005-04-12
->,Q111312715->NULL,Shuvai Mahofa,Q1910161,ZANU–PF,2005-04-12
->,Q111313425->NULL,Steven Chiurayi,Q1910161,ZANU–PF,2006-10-07
->,Q111281751->NULL,Tapiwa Mashakada,Q2582118,NULL->MDC,2005-04-12
->,Q7410395,Tendai Biti,Q2582118,NULL->MDC,2005-04-12
->,Q111312716->NULL,Thembikosi Sibindi,Q2582118,NULL->MDC,2005-04-12
->,Q9358456,Thokozani Khuphe,Q2582118,NULL->MDC,2005-04-12
->,Q111291773->NULL,Thokozile Mathuthu,Q1910161,ZANU–PF,2005-04-12
->,Q111312717->NULL,Timothy Mabhawu,Q2582118,NULL->MDC,2005-04-12
->,Q111312718->NULL,Timothy Mukahlera,Q2582118,NULL->MDC,2005-04-12
->,Q111312719->NULL,Tinaye Chigudu,Q1910161,ZANU–PF,2005-04-12
->,Q111312720->NULL,Titus Maluleke,Q1910161,ZANU–PF,2005-04-12
->,Q111295126->NULL,Tongai Matutu,Q2582118,NULL->MDC,2005-04-12
->,Q7847292,Trudy Stevenson,Q2582118,NULL->MDC,2005-04-12
->,Q111312721->NULL,Try Dandawa,Q1910161,ZANU–PF,2005-04-12
->,Q7982050,Welshman Ncube,Q2582118,NULL->MDC,2005-04-12
->,Q111281775->NULL,William Mutomba,Q1910161,ZANU–PF,2005-04-12
->,Q111281776->NULL,Willias Madzimure,Q2582118,NULL->MDC,2005-04-12
->,Q111312722->NULL,Zachariah Ziyambi,Q1910161,ZANU–PF,2005-04-12
