item,itemLabel,startDate,endDate,psid
Q111316239,Shebba Shumbayaonda,2017-12-07,2017-12-18,Q111316239-C9E70F54-54D3-4A42-929C-FB31B7D056DA
Q16016626,Josiah Tungamirai,1986-01,1992,Q16016626-9E0137A0-F595-4A43-A38C-A028F6354109
Q16018947,Norman Walsh,1981,1983-05-22,Q16018947-CD2E5922-ADDD-4C4C-B942-16B0C71D54E9
Q4155258,Azim Daudpota,1983-07,1986-01,Q4155258-53E85611-09B2-421E-BF2E-0BDDC6DF8924
Q5367709,Elson Moyo,2017-12-18,,Q5367709-E35A64C5-4BA9-4115-A34A-415672391AF3
Q5488595,Frank Mussell,1980-04-18,1981,Q5488595-4CE8EF11-0FBC-46A7-A4E8-F76D35692F4D
Q7167845,Perence Shiri,1992,2017-12-07,Q7167845-7FD48B0B-3571-4184-9627-EB11F47E3481
