@@,item,name,party,partylabel
+++,,Aaron Baloyi,Q1910161,ZANU–PF
+++,,Abednico Bhebhe,Q2582118,MDC
+++,,Abednico Malinga,Q2582118,MDC
+++,,Abednico Ncube,Q1910161,ZANU–PF
+++,,Amos Mutongi,Q2582118,MDC
+++,,Austin Mupandawana,Q2582118,MDC
+++,,Bennie Tumbare-Mutasa,Q2582118,MDC
+++,,Bethel Makwembere,Q2582118,MDC
->,Q4926322,Blessing Chebundo,Q2582118,NULL->MDC
+++,,Cephas Nyoni,Q2582118,MDC
+++,,Charles Majange,Q1910161,ZANU–PF
+++,,Charles Ndlovu,Q1910161,ZANU–PF
+++,,Chenhamo Chimutingwende,Q1910161,ZANU–PF
+++,,Christopher Mushowe,Q1910161,ZANU–PF
+++,,Daniel Mackenzie Ncube,Q1910161,ZANU–PF
+++,,David Chapfika,Q1910161,ZANU–PF
->,Q5232494,David Coltart,Q2582118,NULL->MDC
+++,,David Mpala,Q2582118,MDC
+++,,Dunmore Makuvaza,Q2582118,MDC
+++,,Edward Mkhosi,Q2582118,MDC
+++,,Edwin Mushoriwa,Q2582118,MDC
+++,,Elick Mkandla,Q1910161,ZANU–PF
+++,,Elliot Chauke,Q1910161,ZANU–PF
+++,,Esaph Mdhlongwa,Q2582118,MDC
+++,,Esther Nyauchi,Q1910161,ZANU–PF
->,Q5416378,Evelyn Masaiti,Q2582118,NULL->MDC
->,Q5446764,Fidelis Mhashu,Q2582118,NULL->MDC
->,Q5458776,Fletcher Dulini,Q2582118,NULL->MDC
+++,,Flora Bhuka,Q1910161,ZANU–PF
+++,,Gabriel Chaibva,Q2582118,MDC
+++,,George Joe Ndlovu,Q2582118,MDC
->,Q5559396,Gibson Sibanda,Q2582118,NULL->MDC
+++,,Gilbert Shoko,Q2582118,MDC
->,Q5561692,Giles Mutsekwa,Q2582118,NULL->MDC
+++,,Hilda Mafudze,Q2582118,MDC
+++,,Innocent Chikiyi,Q1910161,ZANU–PF
+++,,Innocent Gonese,Q2582118,MDC
+++,,Isaac Mackenzie,Q1910161,ZANU–PF
+++,,Isaiah Shumba,Q1910161,ZANU–PF
+++,,Jacob Mabikwa,Q2582118,MDC
+++,,Jaison Machaya,Q1910161,ZANU–PF
+++,,Jealous Sansole,Q2582118,MDC
+++,,Jeffrey Khumalo,Q2582118,MDC
+++,,Jefta Chindanya,Q1910161,ZANU–PF
->,Q86997401,Job Sikhala,Q2582118,NULL->MDC
->,Q6213465,Joel Gabuza,Q2582118,NULL->MDC
+++,,Jorum Gumbo,Q1910161,ZANU–PF
+++,,Josiah Hungwe,Q1910161,ZANU–PF
+++,,Justin Mutendadzamera,Q2582118,MDC
+++,,Kenneth Manyonda,Q1910161,ZANU–PF
+++,,Kenneth Mutiwekuziva,Q1910161,ZANU–PF
+++,,Kumbirai Kangai,Q1910161,ZANU–PF
->,Q6510240,Learnmore Jongwe,Q2582118,NULL->MDC
+++,,Leonard Chirewamangu,Q2582118,MDC
->,Q3264301,Lovemore Moyo,Q2582118,NULL->MDC
+++,,Lovemore Mupukuta,Q1910161,ZANU–PF
+++,,Mark Madiro,Q1910161,ZANU–PF
+++,,Messias Matewu,Q2582118,MDC
->,Q94034676,Mike Auret,Q2582118,NULL->MDC
+++,,Milton Gwetu,Q2582118,MDC
->,Q6915903,Moses Ndlovu,Q2582118,NULL->MDC
+++,,Mtoliki Sibanda,Q2582118,MDC
->,Q6937034,Munyaradzi Gwisai,Q2582118,NULL->MDC
+++,,Nkosana Moyo,Q1910161,ZANU–PF
+++,,Nobbie Dzinzi,Q1910161,ZANU–PF
->,Q7048451,Nomalanga Khumalo,Q2582118,NULL->MDC
+++,,Paul Madzore,Q2582118,MDC
+++,,Paul Mazikana,Q1910161,ZANU–PF
->,Q6019041,Paul Themba Nyathi,Q2582118,NULL->MDC
->,Q7155466,Paurina Mpariwa,Q2582118,NULL->MDC
+++,,Pearson Mbalekwa,Q1910161,ZANU–PF
+++,,Peter Chanetsa,Q1910161,ZANU–PF
->,Q7245611,Priscilla Misihairambwi,Q2582118,NULL->MDC
+++,,Ray Kaukonde,Q1910161,ZANU–PF
+++,,Renson Gasela,Q2582118,MDC
->,Q3062672,Roy Bennett,Q2582118,NULL->MDC
+++,,Rufaro Gwanzura,Q1910161,ZANU–PF
+++,,Shadreck Chipanga,Q1910161,ZANU–PF
+++,,Shuvai Mahofa,Q1910161,ZANU–PF
+++,,Silas Man'ono,Q2582118,MDC
+++,,Stephen Nkomo,Q1910161,ZANU–PF
+++,,Sydney Mukwecheni,Q2582118,MDC
+++,,Tafadzwa Musekiwa,Q2582118,MDC
+++,,Tapiwa Mashakada,Q2582118,MDC
->,Q7410395,Tendai Biti,Q2582118,NULL->MDC
->,Q9358456,Thokozani Khuphe,Q2582118,NULL->MDC
+++,,Tichaona Munyanyi,Q2582118,MDC
+++,,Timothy Mukahlera,Q2582118,MDC
->,Q7847292,Trudy Stevenson,Q2582118,NULL->MDC
+++,,Victor Chitongo,Q1910161,ZANU–PF
+++,,Walter Mutsauri,Q1910161,ZANU–PF
+++,,Welshman Mabhena,Q1910161,ZANU–PF
->,Q7982050,Welshman Ncube,Q2582118,NULL->MDC
+++,,Willias Madzimure,Q2582118,MDC
->,Q8023117,Wilson Khumbula,Q8071965,NULL->ZANU–Ndonga
+++,,Zachariah Ziyambi,Q1910161,ZANU–PF
