item,itemLabel,startDate,endDate,psid
Q111270218,Paddy Zhanda,2013-10-10,2017,Q111270218-9320B6A7-90F2-4EC1-A3E7-2B14EB66CE02
Q111270219,Davis Marapira,2017-11-30,2018,Q111270219-415DC5A6-4A03-4094-88FE-ADF11460BAA7
Q111270220,Douglas Karoro,2018,,Q111270220-BB4CA598-DEA5-41BC-92C8-A4BAC234934E
Q1379403,Simba Makoni,1980-05,1981-01,Q1379403-278A9EE9-3572-423E-8756-625669FB27C0
Q46853306,Jock Kay,1988-01-22,1990-04,Q46853306-4DE3F3EB-9D4C-4DA8-8AE7-DB74955AFD9B
Q7446983,Seiso Moyo,2011-10-11,2012-12-21,Q7446983-F04E08BA-DF76-41E5-815C-5F4AA91232F7
Q7660812,Sylvester Nguni,2006,2006,Q7660812-F9FA3D44-536F-4A7F-9D7C-110F1B553B07
Q94973458,Vangelis Haritatos,2018,,Q94973458-EBF6288A-C637-45A5-9C26-E44315D0C8BF
