item,itemLabel,party,partyLabel,constituency,constituencyLabel,startDate,endDate,gender,psid
Q6828646,Michael Bimha,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q6828646-0AAADF2C-2B72-4A45-B01F-05C4D47C61B7
Q6935586,Munacho Mutezo,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q6935586-D9978F16-8D70-484E-ADDD-EE0F1B0DBFF1
Q6938737,Murisi Zwizwai,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q6938737-46EF6353-D93C-4BBD-BDEE-B4A39F7ED156
Q7025447,Nicholas Goche,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q7025447-6F553AAC-4685-430A-88D2-4B1E849CB223
Q7070929,Nyasha Chikwinya,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q7070929-5D179A4C-683C-478C-929A-0588B2284601
Q7095508,Oppah Muchinguri,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q7095508-C1459DBB-1369-492F-96BE-9AD5B08DC98A
Q7149825,Paul Chimedza,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q7149825-342A4D66-5D6C-404E-9A39-11C024232C65
Q7155466,Paurina Mpariwa,Q1146616,MDC–T,,,2013-09-17,2018-07-29,female,Q7155466-EADC7CFA-5267-432E-A26D-54B875B0832E
Q7245611,Priscilla Misihairabwi-Mushonga,Q15980776,,,,2013-09-17,2018-07-29,female,Q7245611-03F1A156-7464-4B2B-A5A0-F080764E5BAB
Q7317489,Reuben Marumahoko,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q7317489-F7D3CF80-B20E-4B3D-83A2-6842348AED9F
Q7410395,Tendai Biti,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q7410395-03C4DECA-E00B-413C-A048-745416952123
Q7412644,Samuel Sipepa Nkomo,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q7412644-F51510E8-56FE-42D2-B2F6-2E8651C6F042
Q7412813,Samuel Undenge,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q7412813-969647C6-D160-4DC2-AA74-63940B0E12EC
Q7428343,Saviour Kasukuwere,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q7428343-D4674F4F-A88A-4C2B-A5DA-131F7E351166
Q7456035,Sesel Zvidzai,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q7456035-6E6BAB5E-78C8-487B-8681-37DD93239DD0
Q7641876,Supa Mandiwanzira,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q7641876-63341121-5601-469F-B723-9741CD407183
Q7660812,Sylvester Nguni,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q7660812-BB44CC66-EF2D-4C65-826D-9909A096EA6A
Q7710066,Thamsanqa Mahlangu,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q7710066-6084F663-4D0D-4150-AA61-65D3F5E25D16
Q7964549,Walter Chidhakwa,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q7964549-6F388EC0-DD83-4DDC-B447-5C9F55278995
Q7965696,Walter Mzembi,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q7965696-6A81A428-ECB7-4B41-BD69-6AD58C29BE96
Q7978955,Webster Shamu,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q7978955-A3DD96DD-49CB-4E97-9937-F28BD8A8EE15
Q85678901,Paul Mavima,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q85678901-37EA8266-6285-40BC-A955-C375560CB3D8
Q85678984,Ziyambi Ziyambi,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q85678984-A66F08AD-F198-4BE9-8FA3-0104A960FA83
Q85850886,Kazembe Kazembe,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q85850886-29684FB4-6841-478B-9908-1EF83D758767
Q91165040,Nicola Watson,Q1146616,MDC–T,,,2013-09-17,2018-07-29,female,Q91165040-1BC030B8-BFAB-4396-9C7E-021773389F8E
Q93452160,Mabel Chinomona,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q93452160-2E54B39D-A194-4EC8-9118-00CD4D93C38A
Q93578158,Christopher Chingosho,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q93578158-720EFD40-D2CC-474A-B33F-4525CF1FD777
Q9358456,Thokozani Khuphe,Q1146616,MDC–T,,,2013-09-17,2018-07-29,female,Q9358456-1EBD717A-E872-4C68-B15C-E85699664D3C
Q97816798,Masango Matambanadzo,,,Q97817432,Kwekwe Central,2013-07-31,2020-07-28,male,Q97816798-5eab6d70-4ce8-4463-2f18-b8949ea3dd34
Q98112108,Owen Ncube,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q98112108-D6B39F2F-8DED-4CE5-9A7F-3DDB62DC2315
Q981736,Joice Mujuru,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q981736-11184FD8-F24F-47DE-9C3B-4E9F6014C296
