item,itemLabel,party,partyLabel
,Ticharwa Madondo,Q1910161,ZANU–PF
,Sarah Mahoka,Q1910161,ZANU–PF
,Roseline Makoni,Q1910161,ZANU–PF
,Tendayi Makunde,Q1910161,ZANU–PF
,Oliver Mandipaka,Q1910161,ZANU–PF
Q7641876,Supa Mandiwanzira,Q1910161,ZANU–PF
,Sabina Mangwende,Q1910161,ZANU–PF
,Joseph Mapiki,Q1910161,ZANU–PF
,Davis Marapira,Q1910161,ZANU–PF
Q7317489,Reuben Marumahoko,Q1910161,ZANU–PF
,Luke Masamvu,Q1910161,ZANU–PF
,Denford Masiya,Q1910161,ZANU–PF
,Wonder Mashange,Q1910161,ZANU–PF
,Shadreck Mashayamombe,Q1910161,ZANU–PF
,Dorothy Mashonganyika,Q1910161,ZANU–PF
Q97816798,Masango Matambanadzo,Q1910161,ZANU–PF
,Tapiwa Matangaidze,Q1910161,ZANU–PF
,Kennedy Matimba,Q1910161,ZANU–PF
,Biggie Joel Matiza,Q1910161,ZANU–PF
,Lovemore Matuke,Q1910161,ZANU–PF
,Robson Mavenyengwa,Q1910161,ZANU–PF
,Vincent Mawere,Q1910161,ZANU–PF
,Edgar Mbwembwe,Q1910161,ZANU–PF
Q29588993,Obedingwa Mguni,Q1910161,ZANU–PF
,Jennifer Mhlanga,Q1910161,ZANU–PF
,Felix Mhona,Q1910161,ZANU–PF
Q4747917,Amos Midzi,Q1910161,ZANU–PF
,Win Mlambo,Q1910161,ZANU–PF
,Temba Mliswa,Q1910161,ZANU–PF
,Molly Mnkandla,Q1910161,ZANU–PF
Q6386891,Kembo Mohadi,Q1910161,ZANU–PF
Q5301822,Douglas Mombeshora,Q1910161,ZANU–PF
,Eunice Moyo,Q1910161,ZANU–PF
Q3183430,Jonathan Moyo,Q1910161,ZANU–PF
,Lamson Moyo,Q1910161,ZANU–PF
Q510523,Emmerson Mnangagwa,Q1910161,ZANU–PF
Q107534597,Bekithemba Mpofu,Q1910161,ZANU–PF
,Mthokozisi Mpofu,Q1910161,ZANU–PF
Q2011278,Obert Mpofu,Q1910161,ZANU–PF
,Rossy Mpofu,Q1910161,ZANU–PF
,Sikhanyisiwe Mpofu,Q1910161,ZANU–PF
,Tariro Mtingwende,Q1910161,ZANU–PF
,Francis Muchenje,Q1910161,ZANU–PF
,Macdonald Muchetwa,Q1910161,ZANU–PF
Q7095508,Oppah Muchinguri,Q1910161,ZANU–PF
,Tongesayi Mudambo,Q1910161,ZANU–PF
,Simbaneuta Mudarikwa,Q1910161,ZANU–PF
,Metrine Mudau,Q1910161,ZANU–PF
,Ronald Muderedzwa,Q1910161,ZANU–PF
,Alfred Mufunga,Q1910161,ZANU–PF
Q981736,Joice Mujuru,Q1910161,ZANU–PF
,Samson Mukanduri,Q1910161,ZANU–PF
,Francis Mukwangwariwa,Q1910161,ZANU–PF
,Robert Mukwena,Q1910161,ZANU–PF
,Simon Musanhu,Q1910161,ZANU–PF
Q5107550,Chris Mushohwe,Q1910161,ZANU–PF
,Aldrin Musiiwa,Q1910161,ZANU–PF
,Washington Musvaire,Q1910161,ZANU–PF
Q93578158,Christopher Chingosho,Q1910161,ZANU–PF
,Chriswell Mutematsaka,Q1910161,ZANU–PF
Q6935586,Munacho Mutezo,Q1910161,ZANU–PF
,William Mutomba,Q1910161,ZANU–PF
Q43266691,Christopher Mutsvangwa,Q1910161,ZANU–PF
,Tongai Muzenda,Q1910161,ZANU–PF
Q7965696,Walter Mzembi,Q1910161,ZANU–PF
,Abedinico Ncube,Q1910161,ZANU–PF
,Daniel Ncube,Q1910161,ZANU–PF
,Soul Ncube,Q1910161,ZANU–PF
,Alice Ndhlovu,Q1910161,ZANU–PF
,Anastancia Ndhlovu,Q1910161,ZANU–PF
,Mathias Ndlovu,Q1910161,ZANU–PF
,Ladislus Ndoro,Q1910161,ZANU–PF
,Dexter Nduna,Q1910161,ZANU–PF
Q7660812,Sylvester Nguni,Q1910161,ZANU–PF
,Marbel Nkatazo,Q1910161,ZANU–PF
,Mail Nkomo,Q1910161,ZANU–PF
,Malachi Nkomo,Q1910161,ZANU–PF
,Lungisani Nleya,Q1910161,ZANU–PF
,Annastazia Nyahino,Q1910161,ZANU–PF
,Biata Nyamupinga,Q1910161,ZANU–PF
Q5927511,Hubert Nyanhongo,Q1910161,ZANU–PF
,Christina Nyere,Q1910161,ZANU–PF
Q16733535,Sithembiso Nyoni,Q1910161,ZANU–PF
,Kindness Paradza,Q1910161,ZANU–PF
,Jaison Passade,Q1910161,ZANU–PF
,Innocent Pedzisai,Q1910161,ZANU–PF
,Fani Phanuel Phiri,Q1910161,ZANU–PF
,Enock Porusingazi,Q1910161,ZANU–PF
,Blessed Runesu,Q1910161,ZANU–PF
,Annah Rungani,Q1910161,ZANU–PF
,Ezira Ruvai,Q1910161,ZANU–PF
,Tendai Savanhu,Q1910161,ZANU–PF
Q7978955,Webster Shamu,Q1910161,ZANU–PF
,Elizabeth Shongedza,Q1910161,ZANU–PF
Q5218758,Daniel Shumba,Q1910161,ZANU–PF
,Clifford Sibanda,Q1910161,ZANU–PF
,Madodana Sibanda,Q1910161,ZANU–PF
,Zenzo Sibanda,Q1910161,ZANU–PF
,Yeukai Simbanegavi,Q1910161,ZANU–PF
,Sabina Thembani,Q1910161,ZANU–PF
,Mathias Tongofa,Q1910161,ZANU–PF
,Joan Tsogorani,Q1910161,ZANU–PF
,Constance Tsomondo,Q1910161,ZANU–PF
Q7412813,Samuel Undenge,Q1910161,ZANU–PF
,Mafios Vutete,Q1910161,ZANU–PF
,Lilian Zemura,Q1910161,ZANU–PF
,Paddy Zhanda,Q1910161,ZANU–PF
,Philina Zhou,Q1910161,ZANU–PF
,Tafanana Zhou,Q1910161,ZANU–PF
,Irene Zindi,Q1910161,ZANU–PF
Q85678984,Ziyambi Ziyambi,Q1910161,ZANU–PF
,Teti Banda,Q1146616,MDC–T
,Abednico Bhebhe,Q1146616,MDC–T
Q7410395,Tendai Biti,Q1146616,MDC–T
,Sibusisiwe Budha,Q1146616,MDC–T
,Revai Muguti,Q1146616,MDC–T
Q16207702,Nelson Chamisa,Q1146616,MDC–T
,Amos Chibaya,Q1146616,MDC–T
,Simon Chidakwa,Q1146616,MDC–T
,Gift Chimanikire,Q1146616,MDC–T
,Concilia Chinanzvavana,Q1146616,MDC–T
,Value Chitembwe,Q1146616,MDC–T
,Fanny Chirisa,Q1146616,MDC–T
Q5335953,Eddie Cross,Q1146616,MDC–T
,Sipho Dube,Q1146616,MDC–T
,Innocent Gonese,Q1146616,MDC–T
,Thabitha Khumalo,Q1146616,MDC–T
Q9358456,Thokozani Khuphe,Q1146616,MDC–T
,Mafoko Labode,Q1146616,MDC–T
,Costa Machingauta,Q1146616,MDC–T
,Willias Madzimure,Q1146616,MDC–T
,Paul Madzore,Q1146616,MDC–T
,Solomon Madzore,Q1146616,MDC–T
Q7710066,Thamsanqa Mahlangu,Q1146616,MDC–T
,Webster Maondera,Q1146616,MDC–T
,Gladys Mathe,Q1146616,MDC–T
,Albert Mhlanga,Q1146616,MDC–T
,Bacillia Majaya,Q1146616,MDC–T
Q6187759,Jessie Majome,Q1146616,MDC–T
,Joyce Makonya,Q1146616,MDC–T
,Moses Manyengawana,Q1146616,MDC–T
,Tapiwa Mashakada,Q1146616,MDC–T
,Phelela Masuku,Q1146616,MDC–T
,Peter Mataruse,Q1146616,MDC–T
,Lucia Matibenga,Q1146616,MDC–T
,Margaret Matienga,Q1146616,MDC–T
,James Maridadi,Q1146616,MDC–T
Q5584672,Gorden Moyo,Q1146616,MDC–T
,Reggie Moyoe,Q1146616,MDC–T
Q7155466,Paurina Mpariwa,Q1146616,MDC–T
,Spiwe Muchenje,Q1146616,MDC–T
Q5360562,Elias Mudzuri,Q1146616,MDC–T
,Irimai Mukwishu,Q1146616,MDC–T
,Fani Munengami,Q1146616,MDC–T
,Memory Munochinzwa,Q1146616,MDC–T
,Erick Murai,Q1146616,MDC–T
,Alexio Musundire,Q1146616,MDC–T
,Prosper Mutseyami,Q1146616,MDC–T
,Judith Muzhavazhi,Q1146616,MDC–T
,Emma Muzondiwa,Q1146616,MDC–T
,Masaiti Muzungu,Q1146616,MDC–T
,Anele Ndebele,Q1146616,MDC–T
Q7412644,Samuel Sipepa Nkomo,Q1146616,MDC–T
,Dorothy Ndlovu,Q1146616,MDC–T
,Nomathemba Ndlovu,Q1146616,MDC–T
,Bekithemba Nyathi,Q1146616,MDC–T
,Tose Sansole,Q1146616,MDC–T
,Trevor Saruwaka,Q1146616,MDC–T
,Dorcas Sibanda,Q1146616,MDC–T
,Lwazi Sibanda,Q1146616,MDC–T
,Godfrey Sithole,Q1146616,MDC–T
,Unganai Tarusenga,Q1146616,MDC–T
,Brian Tshuma,Q1146616,MDC–T
,Dingilizwe Tshuma,Q1146616,MDC–T
Q4795279,Arnold Tsunga,Q1146616,MDC–T
Q91165040,Nicola Watson,Q1146616,MDC–T
Q7456035,Sesel Zvidzai,Q1146616,MDC–T
Q6938737,Murisi Zwizwai,Q1146616,MDC–T
Q7245611,Priscilla Misihairabwi-Mushonga,Q15980776,MDC–N
,Jasmine Toffa,Q15980776,MDC–N
,Jonathan Samukange,Q327591,Independent
