item,itemLabel,party,partyLabel
,Godfrey Beremauro,Q1910161,ZANU–PF
,Kudakwashe Bhasikiti,Q1910161,ZANU–PF
Q6828646,Michael Bimha,Q1910161,ZANU–PF
Q5231960,David Butau,Q1910161,ZANU–PF
,Paradzai Chakona,Q1910161,ZANU–PF
,David Chapfika,Q1910161,ZANU–PF
Q16195944,Fortune Chasi,Q1910161,ZANU–PF
,Gertrude Chibagu,Q1910161,ZANU–PF
,Edgar Chidavaenzi,Q1910161,ZANU–PF
Q7964549,Walter Chidhakwa,Q1910161,ZANU–PF
,Monica Chigudu,Q1910161,ZANU–PF
,Christopher Chigumba,Q1910161,ZANU–PF
,Miriam Chikukwa,Q1910161,ZANU–PF
,Ester Chikuni,Q1910161,ZANU–PF
,Berta Chikwama,Q1910161,ZANU–PF
Q7070929,Nyasha Chikwinya,Q1910161,ZANU–PF
Q7149825,Paul Chimedza,Q1910161,ZANU–PF
,Mandi Chimene,Q1910161,ZANU–PF
,Adam Chimwamurombe,Q1910161,ZANU–PF
Q3369338,Patrick Chinamasa,Q1910161,ZANU–PF
Q93452160,Mabel Chinomona,Q1910161,ZANU–PF
Q6282111,Joseph Chinotimba,Q1910161,ZANU–PF
,Phineas Chiota,Q1910161,ZANU–PF
,Kudzanai Chipanga,Q1910161,ZANU–PF
,Angeline Chipato,Q1910161,ZANU–PF
,Christopher Chitindi,Q1910161,ZANU–PF
,Lucia Chitura,Q1910161,ZANU–PF
,Kizito Chivamba,Q1910161,ZANU–PF
,Darlington Chiwa,Q1910161,ZANU–PF
,Jeremiah Chiwetu,Q1910161,ZANU–PF
Q16151660,Ignatius Chombo,Q1910161,ZANU–PF
,Abigail Damasane,Q1910161,ZANU–PF
,William Dhewa,Q1910161,ZANU–PF
,Tionei Melody Dziva,Q1910161,ZANU–PF
,Godfrey Gandawa,Q1910161,ZANU–PF
,Mike Gava,Q1910161,ZANU–PF
,Tsitsi Gezi,Q1910161,ZANU–PF
Q7025447,Nicholas Goche,Q1910161,ZANU–PF
,Edson Gumbo,Q1910161,ZANU–PF
,Kalisto Gwanetsa,Q1910161,ZANU–PF
,Ephraim Gwanongodza,Q1910161,ZANU–PF
,Peter Haritatos,Q1910161,ZANU–PF
,Makhosini Hlongwane,Q1910161,ZANU–PF
,Gertrude Hungwa,Q1910161,ZANU–PF
,Jeppy Jaboon,Q1910161,ZANU–PF
,Newten Kachepa,Q1910161,ZANU–PF
,Dorothy Kadungure,Q1910161,ZANU–PF
,Petronella Kagonye,Q1910161,ZANU–PF
Q43667129,Tabetha Kanengoni-Malinga,Q1910161,ZANU–PF
,Epmarcus Kanhanga,Q1910161,ZANU–PF
Q7428343,Saviour Kasukuwere,Q1910161,ZANU–PF
,Aqualinah Katsande,Q1910161,ZANU–PF
,Ray Kaukonde,Q1910161,ZANU–PF
,Mabel Kaundikiza,Q1910161,ZANU–PF
Q85850886,Kazembe Kazembe,Q1910161,ZANU–PF
,Munyaradzi Kereke,Q1910161,ZANU–PF
,Never Khanye,Q1910161,ZANU–PF
,Martin Khumalo,Q1910161,ZANU–PF
Q32534048,Christopher Kuruneri,Q1910161,ZANU–PF
,Goodlucky Kwaramba,Q1910161,ZANU–PF
Q4757697,Andrew Langa,Q1910161,ZANU–PF
,Chiratidzo Mabuwa,Q1910161,ZANU–PF
,Raymore Machingura,Q1910161,ZANU–PF
,Michael Madanha,Q1910161,ZANU–PF
