@@,itemlabel,item,startdate,enddate
+++,Denis Norman,Q5257427,1980-05,1985-07
+++,Moven Mahachi,Q14922135,1985,1988
+++,David Karimanzira,Q19144163,1988,1990
+++,Witness Mangwende,Q2586564,1991-01-01,1994-12-22
+++,Kumbirai Kangai,,1994,2000
+++,Joseph Made,Q6285211,2000,2007
+++,Rugare Gumbo,Q7378129,2007,2009
+++,Sylvester Nguni,Q7660812,2009,2009
+++,Joseph Made,Q6285211,2009-02-13,2017-11-27
->,Perence Shiri->Perrance Shiri,Q7167845,2017-11-30,2020-07-27
->,Anxious Jongwe Masuka,Q99237454->NULL,2020-08-14,
