item,name,party,partyLabel
,Oliver Chidawu,Q1910161,ZANU–PF
,Alice Chimbudzi,Q1910161,ZANU–PF
Q5091394,Chenhanho Chimutengwende,Q1910161,ZANU–PF
,Alice Dube,Q1910161,ZANU–PF
,Sikelela Gumpo,Q1910161,ZANU–PF
,Ellen Gwaradzimba,Q1910161,ZANU–PF
,Josaya Hungwe,Q1910161,ZANU–PF
,Spinani Hungwe,Q1910161,ZANU–PF
Q16866539,Simon Khaya-Moyo,Q1910161,ZANU–PF
,Watson Khupe,Q1910161,ZANU–PF
,Joseph Madziva,Q1910161,ZANU–PF
,Joshua Teke Malinga,Q1910161,ZANU–PF
,Ottillia Maluleke,Q1910161,ZANU–PF
,Themba Mathuthu,Q1910161,ZANU–PF
,Thokozile Mathuthu,Q1910161,ZANU–PF
,Address Matirira,Q1910161,ZANU–PF
,Lovemore Matuke,Q1910161,ZANU–PF
,Larry Mavhima,Q1910161,ZANU–PF
,Maybe Mbowa,Q1910161,ZANU–PF
,Alma Mkwebu,Q1910161,ZANU–PF
,Tambudzani Moyo,Q1910161,ZANU–PF
Q2011278,Obert Mpofu,Q1910161,ZANU–PF
,Aplonia Munzverengwi,Q1910161,ZANU–PF
,Priscah Mupfumira,Q1910161,ZANU–PF
Q85118775,Monica Mutsvangwa,Q1910161,ZANU–PF
,Tsitsi Muzenda,Q1910161,ZANU–PF
Q6848219,Mike Nyambuya,Q1910161,ZANU–PF
Q5238373,David Parirenyatwa,Q1910161,ZANU–PF
Q7660136,Sydney Sekeramayi,Q1910161,ZANU–PF
,Clara Shumba,Q1910161,ZANU–PF
,Rejoice Timire,Q1910161,ZANU–PF
,Angeline Tongogara,Q1910161,ZANU–PF
,Bybit Tsomondo,Q1910161,ZANU–PF
,Keresencia Chabuka,Q85786782,MDC
,Jane Chifamba,Q85786782,MDC
,Voice Chinake,Q85786782,MDC
,Mildred Reason Dube,Q85786782,MDC
Q16136022,Morgan Femai,Q85786782,MDC
,Kerina Gweshe,Q85786782,MDC
,Morgan Komichi,Q85786782,MDC
,Theresa Maonei Makone,Q85786782,MDC
,Tichinani Mavetera,Q85786782,MDC
,Monica Mavhunga,Q85786782,MDC
,Violet Moeketsi,Q85786782,MDC
Q107534597,Bekithemba Mpofu,Q85786782,MDC
Q5360562,Elias Mudzuri,Q85786782,MDC
,Martha Muronzi,Q85786782,MDC
,Douglas Mwonzora,Q85786782,MDC
,Siphiwe Ncube,Q85786782,MDC
,Molly Ndlovu,Q85786782,MDC
,Phyllis Ndlovu,Q85786782,MDC
,Rosemary Nyathi,Q85786782,MDC
,Meliwe Phuthi,Q85786782,MDC
,Christine Rambanepasi,Q85786782,MDC
,Esnath Rwambiwa,Q85786782,MDC
,Herbert Sinampande,Q85786782,MDC
,Gideon Shoko,Q85786782,MDC
,Lilian Timveos,Q85786782,MDC
,Tapfumanei Wunganayi,Q85786782,MDC
,Helen Zivira,Q85786782,MDC
,Witness Bungu,"",""
,Fortune Charumbira,"",""
,Langton Chikukwa,"",""
,Chitanga,"",""
,Chundu,"",""
,Shephered Chengeta Gundu,"",""
,Mtshane Khumalo,"",""
,Annias Mapungwana,"",""
,Masendu,"",""
,Mathuphula,"",""
,Matsiwo,"",""
,Nembire,"",""
,Ngezi,"",""
,Ngungubane,"",""
,Nhema,"",""
,Nkathazo Siansole,"",""
,Milton Ntabeni,"",""
,Nyangazonke,"",""
