item,name,party,partyLabel,constituency,constituencyLabel,startDate,endDate,gender,psid
Q106269407,Ellen Gwaradzimba,Q1910161,ZANU–PF,,,2018-08,2021-01-15,female,Q106269407-F34C9C3D-EAE3-4D19-9BF0-211349CC29C1
Q107534597,Bekithemba Mpofu,Q85786782,,,,2018-08,,male,Q107534597-2404EEB3-E236-4E68-96F9-04DE08750BD1
Q111281682,Lovemore Matuke,Q1910161,ZANU–PF,,,2018-08,,male,Q111281682-B0C9F71E-8F99-44AA-88E5-8DC29F5051F4
Q111283548,Alice Chimbudzi,Q1910161,ZANU–PF,,,2018-08,,female,Q111283548-E1594F51-D307-4A91-B53B-0A77C018DDC6
Q111283563,Jane Chifamba,Q85786782,,,,2018-08,,female,Q111283563-A437A0D6-3316-48C7-A7D9-51A179E633CC
Q111283569,Lilian Timveos,Q85786782,,,,2018-08,,female,Q111283569-A1341D5E-128E-40AA-B11D-5A03C7458FFA
Q111283571,Martha Muronzi,Q85786782,,,,2018-08,,female,Q111283571-A7060B73-FA4A-4417-85CA-B0455F474749
Q111283585,Rosemary Nyathi,Q85786782,,,,2018-08,,female,Q111283585-AD7A6FBD-E046-4392-B5B6-367E2FEBB420
Q111283588,Siphiwe Ncube,Q85786782,,,,2018-08,,female,Q111283588-403CD958-35E8-4E08-A40E-B8507EBF9D67
Q111283594,Tsitsi V. Muzenda,Q1910161,ZANU–PF,,,2018-08,,female,Q111283594-1EEA6FDD-5AF7-4888-A11F-7DA6B508F1E2
Q111283595,Violet Moeketsi,Q85786782,,,,2018-08,,female,Q111283595-8251B081-39E9-48E4-A5A8-F5EE92A311CC
Q111283850,Fortune Charumbira,,,,,2018-08,,,Q111283850-156C1A7B-7FCC-45B6-B09E-CE7D56E9D794
Q111283853,Milton Ntabeni,,,,,2018-08,,,Q111283853-77957166-4102-4528-9330-FB6231A672E3
Q111283854,Mtshane Khumalo,,,,,2018-08,,,Q111283854-E07D1697-06A8-4C67-82CE-C654B865A4A1
Q111283857,Nkathazo Siansole,,,,,2018-08,,,Q111283857-021D789B-7D8D-4D6E-A08F-AA8583DA56AB
