id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q19056184,President of Zimbabwe,Q954,Q954,,Q407950,1980-04-18,,,,President of Zimbabwe
Q4261844,Vice President of Zimbabwe,Q954,Q954,,,1987-12-31,,,,Vice-President of Zimbabwe
Q111261995,Second Vice President of Zimbabwe,Q954,Q954,,,,,,,
Q19056226,Prime Minister of Zimbabwe,Q954,Q954,,Q3284447,1980-04-18,,Q7243305,,Prime Minister of Zimbabwe
Q5261075,Deputy Prime Minister of Zimbabwe,Q954,Q954,,,,,,,Deputy Prime Minister of Zimbabwe
Q99228631,Defence Minister of Zimbabwe,Q954,,,,,,,,
Q110197166,"Minister of Education, Sport and Culture",,Q954,,,,,,,
Q110197124,Minister of Energy and Power Development,,Q954,,,,,,,
Q110197142,"Minister of the Environment, Climate Change, Tourism, and International Trade",Q954,Q954,,,,,,,
Q56042032,Finance Minister,Q954,Q954,,,,,,,
Q99228278,Foreign minister of Zimbabwe,Q954,,,,,,,,
Q110197078,Minister of Health and Child Welfare,,Q954,,,,,,,
Q110197100,"Minister of Higher Education, Science and Technology",,Q954,,,,,,,
Q110197079,Minister of Home Affairs,,Q954,,,,,,,
Q110197401,Minister of Industry and Commerce,Q954,Q954,,,,,,,
Q110197082,Minister of Information and Publicity,,Q954,,,,,,,
Q110197091,Minister of Information and Communications Technology,,Q954,,,,,,,
Q110197096,Minister of Justice and Legal Affairs,,Q954,,,,,,,
Q110197452,Minister of Agriculture of Zimbabwe,Q954,Q954,Q111263225,,,,,,
Q110197469,Minister of Mines and Mining Development,,Q954,,,,,,,
Q110197478,Minister of National Housing and Social Amenities,Q954,Q954,,,,,,,
Q110197180,Minister of Primary and Secondary Education,Q954,Q954,,,,,,,
Q110197171,"Minister of Public Service, Labour and Social Welfare",,Q954,,,,,,,
Q110197458,Minister of Public Works,,Q954,,,,,,,
Q110197765,Minister of Regional Integration and International Cooperation,,Q954,,,,,,,
Q110197740,"Minister of Sport, Arts and Recreation",,Q954,,,,,,,
Q110197089,Minister of Tourism,,Q954,,,,,,,
Q110197636,Minister of Transport and Infrastructural Development,,Q954,,,,,,,
Q110197109,"Minister of Women's Affairs, Gender and Community Development",,Q954,,,,,,,
Q110197114,Minister of Water Resources and Development,,Q954,,,,,,,
Q110197518,Minister of State for National Security,Q954,Q954,,,,,,,
Q110197875,Speaker of the National Assembly of Zimbabwe,,,Q111262037,Q6597921,,,,,
Q6594895,President of the Senate of Zimbabwe,,,,,,,,,List of presidents of the Senate of Zimbabwe
Q110197946,Governor of the Reserve Bank of Zimbabwe,Q954,,,,,,,,
Q55607328,Chief of Defense (Zimbabwe),,Q954,,,,,,,Chief of Defense (Zimbabwe)
Q39052435,Chief Justice of Zimbabwe,,,,,1980-04-18,,,,Chief Justice of Zimbabwe
