item,name,party,partyLabel
,Medeline Bhebe,Q1910161,ZANU–PF
Q5460278,Flora Buka,Q1910161,ZANU–PF
,Alice Chimbudzi,Q1910161,ZANU–PF
Q5091394,Chenhamo Chimutengwende,Q1910161,ZANU–PF
,Cleveria Chizema,Q1910161,ZANU–PF
,Rosemary Goto,Q1910161,ZANU–PF
,Josaya Hungwe,Q1910161,ZANU–PF
,Tsitsi Jadagu,Q1910161,ZANU–PF
,Kumbirai Kangai,Q1910161,ZANU–PF
Q16866539,Simon Khaya-Moyo,Q1910161,ZANU–PF
,Jaison Machaya,Q1910161,ZANU–PF
,Tapera Machingaifa,Q1910161,ZANU–PF
Q5340066,Edna Madzongwe,Q1910161,ZANU–PF
,Shuvai Mahofa,Q1910161,ZANU–PF
,Dzikamai Mahvaire,Q1910161,ZANU–PF
,Muhlava Maluleke,Q1910161,ZANU–PF
,Jenia Manyeruke,Q1910161,ZANU–PF
,Angelina Masuku,Q1910161,ZANU–PF
,Ndabazekhaya Matema,Q1910161,ZANU–PF
,Thokozile Mathuthu,Q1910161,ZANU–PF
,Address Matiirira,Q1910161,ZANU–PF
,Monica Mavhunga,Q1910161,ZANU–PF
,Judith Mawire,Q1910161,ZANU–PF
,Alma Mkhwebu,Q1910161,ZANU–PF
,Tambudzani Mohadi,Q1910161,ZANU–PF
Q7088073,Olivia Muchena,Q1910161,ZANU–PF
,Virginia Muchenje,Q1910161,ZANU–PF
Q514464,Simbarashe Mumbengegwi,Q1910161,ZANU–PF
,Damian Mumvuri,Q1910161,ZANU–PF
Q20872132,Prisca Mupfumira,Q1910161,ZANU–PF
,Mike Musaka,Q1910161,ZANU–PF
Q85118775,Monica Mutsvangwa,Q1910161,ZANU–PF
,Tsitsi Muzenda,Q1910161,ZANU–PF
Q6848219,Mike Nyambuya,Q1910161,ZANU–PF
Q5238373,David Parirenyatwa,Q1910161,ZANU–PF
Q7660136,Sydney Sekeramayi,Q1910161,ZANU–PF
,Charles Tawengwa,Q1910161,ZANU–PF
,Mike Carter,Q1146616,MDC–T
,Keresencia Chabuka,Q1146616,MDC–T
,Jane Chifamba,Q1146616,MDC–T
,Patrick Chitaka,Q1146616,MDC–T
,Matson Hlalo,Q1146616,MDC–T
Q7447116,Sekai Holland,Q1146616,MDC–T
,Alphina Juba,Q1146616,MDC–T
,Morgen Komichi,Q1146616,MDC–T
,Ethel Mabhugu,Q1146616,MDC–T
,James Makore,Q1146616,MDC–T
,Misheck Marava,Q1146616,MDC–T
,Sithembile Mlotshwa,Q1146616,MDC–T
,Violet Moeketsi,Q1146616,MDC–T
,Rorana Muchihwa,Q1146616,MDC–T
,Martha Muronzi,Q1146616,MDC–T
,Siphiwe Ncube,Q1146616,MDC–T
,Rosemary Nyathi,Q1146616,MDC–T
,Agnes Sibanda,Q1146616,MDC–T
,Watchy Sibanda,Q1146616,MDC–T
,Herbert Sinampande,Q1146616,MDC–T
,Lilian Timveos,Q1146616,MDC–T
,Tholakele Khumalo,Q15980776,MDC–N
,Joyce Ndhlovu,Q15980776,MDC–N
,Fortune Charumbira,Q1259323,Chiefs
,Rivai Mbaimbai,Q1259323,Chiefs
,Daster Chisunga,Q1259323,Chiefs
,Feleni Chauke,Q1259323,Chiefs
,Try Manyepa,Q1259323,Chiefs
,Ashel Sithole,Q1259323,Chiefs
,Daniel Gwenzi,Q1259323,Chiefs
,Sindalizwe Dube,Q1259323,Chiefs
,Joseph Mudhe,Q1259323,Chiefs
,Mtshane Khumalo,Q1259323,Chiefs
,Enos Masakwa,Q1259323,Chiefs
,Wilson Nebiri,Q1259323,Chiefs
,Clemence Nembire,Q1259323,Chiefs
,Zama Mkhwananzi,Q1259323,Chiefs
,Milton Ntabeni,Q1259323,Chiefs
,Samson Katsande,Q1259323,Chiefs
,Vuyani Ndiweni,Q1259323,Chiefs
,Nkathazo Siansole,Q1259323,Chiefs
,Nyamayabo Mashavakure,Q12131,disabilities
,Annah Shiri,Q12131,disabilities
