item,name,party,partyLabel,constituency,constituencyLabel,startDate,endDate,gender,psid
Q111282876,Lwazi Sibanda,Q1146616,MDC–T,,,2013-09-17,2018-07-29,,Q111282876-9847CC3E-BA53-4196-8A10-B217DCD330AC
Q111282879,Mail Nkomo,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,,Q111282879-7B38F121-D005-473E-BCEC-8E24AF59DD7B
Q111282883,Miriam Chikukwa,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,,Q111282883-A42BE2D4-8E46-4D38-BFE7-F9F8FFFC559C
Q111282889,Sibusisiwe Budha,Q1146616,MDC–T,,,2013-09-17,2018-07-29,,Q111282889-1F59C753-B63F-4D77-AE26-7D6E76C03488
Q111282890,Sikhanyisiwe Mpofu,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,,Q111282890-A85B4692-2D1E-4EB3-9A6C-9131CF7A910D
Q111283546,Address Matiirira,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,female,Q111283546-EC830B89-A670-4ED7-91F9-BB53907A388B
Q111283547,Agnes Sibanda,Q1146616,MDC–T,,,2013-09-17,2018-07-29,female,Q111283547-CA6F93C6-C72E-4643-B7E8-6211705BB11B
Q111283548,Alice Chimbudzi,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,female,Q111283548-F7795FEE-3902-4D63-8836-9B012A0880C8
Q111283549,Alma Mkhwebu,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,female,Q111283549-1970376D-2EDA-4D7A-9412-E86844119982
Q111283551,Alphina Juba,Q1146616,MDC–T,,,2013-09-17,2018-07-29,female,Q111283551-2F08351F-F73C-4335-9D40-96FB503ADB45
Q111283552,Angelina Masuku,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,female,Q111283552-8EDF5127-73D1-4124-B345-C632D63F7E08
Q111283553,Cain G. Mathema,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,male,Q111283553-9032C8D7-D96E-40A6-B14F-AB9162C48EA8
Q111283554,Charles Tawengwa,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,male,Q111283554-759176B6-3E4E-47CC-9D3B-725FDE316125
Q111283555,Damian Mumvuri,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,male,Q111283555-E051AE03-60B3-4A75-A362-27485DDD3435
Q111283556,Dorothy Tholakele Khumalo,Q15980776,,,,2013-09-17,2018-07-29,female,Q111283556-9D014EBC-61B9-4136-BFFA-8267B3141EA0
Q111283557,Dzikamai Mahvaire,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,male,Q111283557-298C6C26-DBC7-408E-8291-F449013B4467
Q111283558,Ethel Mabhugu,Q1146616,MDC–T,,,2013-09-17,2018-07-29,female,Q111283558-2FFB5920-83D5-42B2-81A1-EC26410AAE7C
Q111283559,Tsitsi Jadagu,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,female,Q111283559-F4AE7630-5C5B-46B2-9278-DBC54D95615E
Q111283560,Herbert Sinampande,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111283560-B04F428F-3F4C-4534-A4AC-A490A980316A
Q111283561,Jaison Machaya,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,male,Q111283561-2DB0B111-26FD-4833-A536-48B07F0B3996
Q111283562,James Makore,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111283562-5E0DE7E4-69CE-4569-8741-050BAD21C39F
Q111283563,Jane Chifamba,Q1146616,MDC–T,,,2013-09-17,2018-07-29,female,Q111283563-DB1C6BDA-1FCF-4AC4-8F49-F251EFAC8665
Q111283564,Jenia Manyeruke,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,female,Q111283564-938F71EA-7052-4CAF-8D67-D747CA4E8D66
Q111283565,Josaya Hungwe,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,male,Q111283565-CE718DAC-626C-45A7-9CDC-1FB4FBEA837E
Q111283566,Joyce Ndhlovu,Q15980776,,,,2013-09-17,2018-07-29,female,Q111283566-335271D0-F64B-460A-9005-5C60CD145BCB
Q111283567,Judith Mawire,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,female,Q111283567-4303EAD2-6601-4DA8-8A7D-9434EEEB53F6
Q111283568,Keresencia Chabuka,,,,,2013-09-17,2018-07-29,,Q111283568-44544EEF-B911-4EF6-82BC-D25316E44E1E
Q111283569,Lilian Timveos,Q1146616,MDC–T,,,2013-09-17,2018-07-29,female,Q111283569-BEF37E94-9384-4714-B576-20E27DC6A063
Q111283571,Martha Muronzi,Q1146616,MDC–T,,,2013-09-17,2018-07-29,female,Q111283571-CCBE36C0-688F-401E-80BB-1CBBD3727290
Q111283572,Matson Hlalo,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111283572-93439646-ABCD-4639-B57E-B2B3D37C075C
Q111283573,Medeline Bhebe,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,female,Q111283573-11AF6B60-A855-4484-8475-E6F479A0ADEF
Q111283574,Mike Carter,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111283574-C586DB48-F5FF-4A4B-9492-DC9AAA4D2F2A
Q111283575,Mike M. Byton,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,male,Q111283575-A08D8E53-EAC6-4E6D-9EE8-14CC2536659E
Q111283576,Misheck Marava,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111283576-A3C371F3-C320-4193-A52B-7024E0CA9B8F
Q111283577,Mlotshwa Sithembile,Q1146616,MDC–T,,,2013-09-17,2018-07-29,female,Q111283577-97B49099-2E11-475D-AF79-0DBF3D23C231
Q111283578,Molly Mkandla,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,female,Q111283578-09C0BDB1-6FE5-4D49-8B2A-9DFB5107FE19
Q111283579,Monica Mavhunga,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,female,Q111283579-9CE5C5A4-2CEA-49BC-A6AE-19A0E898F0B1
Q111283580,Morgen Komichi,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111283580-6EB85710-BA24-4351-81C1-721CB601BCAD
Q111283581,Muhlava Maluleke,Q1910161,ZANU–PF,,,2013-09-17,2018-07-29,female,Q111283581-B74DFDD6-FA78-495E-B37C-1F85922C3953
Q111283582,Patrick Chitaka,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111283582-DD7081A1-7440-4E69-A006-844649D46E02
