@@,item,name,party,partylabel
->,Q111283546->NULL,Address Matiirira,Q1910161,ZANU–PF
->,Q111283547->NULL,Agnes Sibanda,Q1146616,MDC–T
->,Q111283548->NULL,Alice Chimbudzi,Q1910161,ZANU–PF
->,Q111283549->NULL,Alma Mkhwebu,Q1910161,ZANU–PF
->,Q111283551->NULL,Alphina Juba,Q1146616,MDC–T
->,Q111283552->NULL,Angelina Masuku,Q1910161,ZANU–PF
->,Q111283842->NULL,Annah Shiri,NULL->Q12131,NULL->disabilities
->,Q111283843->NULL,Ashel Sithole,NULL->Q1259323,NULL->Chiefs
---,Q111283553,Cain G. Mathema,Q1910161,ZANU–PF
->,Q111283554->NULL,Charles Tawengwa,Q1910161,ZANU–PF
->,Q5091394,Chenhanho Chimutengwende->Chenhamo Chimutengwende,Q1910161,ZANU–PF
->,Q111283844->NULL,Clemence Nembire,NULL->Q1259323,NULL->Chiefs
->,Q111283845->NULL,Cleveria Chizema,Q1910161,ZANU–PF
->,Q111283555->NULL,Damian Mumvuri,Q1910161,ZANU–PF
->,Q111283846->NULL,Daniel Gwenzi,NULL->Q1259323,NULL->Chiefs
->,Q111283847->NULL,Daster Chisunga,NULL->Q1259323,NULL->Chiefs
---,Q111283556,Dorothy Tholakele Khumalo,Q15980776,
->,Q111283557->NULL,Dzikamai Mahvaire,Q1910161,ZANU–PF
->,Q111283848->NULL,Enos Masakwa,NULL->Q1259323,NULL->Chiefs
->,Q111283558->NULL,Ethel Mabhugu,Q1146616,MDC–T
->,Q111283849->NULL,Feleni Chauke,NULL->Q1259323,NULL->Chiefs
->,Q111283850->NULL,Fortune Charumbira,NULL->Q1259323,NULL->Chiefs
->,Q111283560->NULL,Herbert Sinampande,Q1146616,MDC–T
->,Q111283561->NULL,Jaison Machaya,Q1910161,ZANU–PF
->,Q111283562->NULL,James Makore,Q1146616,MDC–T
->,Q111283563->NULL,Jane Chifamba,Q1146616,MDC–T
->,Q111283564->NULL,Jenia Manyeruke,Q1910161,ZANU–PF
->,Q111283565->NULL,Josaya Hungwe,Q1910161,ZANU–PF
->,Q111283851->NULL,Joseph Mudhe,NULL->Q1259323,NULL->Chiefs
->,Q111283566->NULL,Joyce Ndhlovu,Q15980776,NULL->MDC–N
->,Q111283567->NULL,Judith Mawire,Q1910161,ZANU–PF
->,Q111283568->NULL,Keresencia Chabuka,NULL->Q1146616,NULL->MDC–T
->,Q25697807->NULL,Kumbirai Kangai,Q1910161,ZANU–PF
->,Q111283569->NULL,Lilian Timveos,Q1146616,MDC–T
---,Q111282876,Lwazi Sibanda,Q1146616,MDC–T
---,Q111282879,Mail Nkomo,Q1910161,ZANU–PF
->,Q111283571->NULL,Martha Muronzi,Q1146616,MDC–T
->,Q111283572->NULL,Matson Hlalo,Q1146616,MDC–T
->,Q111283573->NULL,Medeline Bhebe,Q1910161,ZANU–PF
->,Q111283574->NULL,Mike Carter,Q1146616,MDC–T
---,Q111283575,Mike M. Byton,Q1910161,ZANU–PF
->,Q111283852->NULL,Mike Musaka,Q1910161,ZANU–PF
->,Q111283853->NULL,Milton Ntabeni,NULL->Q1259323,NULL->Chiefs
---,Q111282883,Miriam Chikukwa,Q1910161,ZANU–PF
->,Q111283576->NULL,Misheck Marava,Q1146616,MDC–T
---,Q111283577,Mlotshwa Sithembile,Q1146616,MDC–T
---,Q111283578,Molly Mkandla,Q1910161,ZANU–PF
->,Q111283579->NULL,Monica Mavhunga,Q1910161,ZANU–PF
->,Q111283580->NULL,Morgen Komichi,Q1146616,MDC–T
->,Q111283854->NULL,Mtshane Khumalo,NULL->Q1259323,NULL->Chiefs
->,Q111283581->NULL,Muhlava Maluleke,Q1910161,ZANU–PF
->,Q111283855->NULL,Ndabazekhaya Matema,Q1910161,ZANU–PF
->,Q111283857->NULL,Nkathazo Siansole,NULL->Q1259323,NULL->Chiefs
->,Q111283858->NULL,Nyamayabo Mashavakure,NULL->Q12131,NULL->disabilities
->,Q111283582->NULL,Patrick Chitaka,Q1146616,MDC–T
->,Q111283859->NULL,Rivai Mbaimbai,NULL->Q1259323,NULL->Chiefs
->,Q111283583->NULL,Rorana Muchihwa,Q1146616,MDC–T
->,Q111283584->NULL,Rosemary Goto,Q1910161,ZANU–PF
->,Q111283585->NULL,Rosemary Nyathi,Q1146616,MDC–T
---,Q111283586,Ruth Mafoko Labode,Q1146616,MDC–T
->,Q111283860->NULL,Samson Katsande,NULL->Q1259323,NULL->Chiefs
->,Q111283587->NULL,Shuvai Mahofa,Q1910161,ZANU–PF
---,Q111282889,Sibusisiwe Budha,Q1146616,MDC–T
---,Q111282890,Sikhanyisiwe Mpofu,Q1910161,ZANU–PF
->,Q111283861->NULL,Sindalizwe Dube,NULL->Q1259323,NULL->Chiefs
->,Q111283588->NULL,Siphiwe Ncube,Q1146616,MDC–T
->,Q111283862->NULL,Sithembile Mlotshwa,Q1146616,MDC–T
->,Q111283863->NULL,Tambudzani Mohadi,Q1910161,ZANU–PF
->,Q111283590->NULL,Tapera Machingaifa,Q1910161,ZANU–PF
---,Q111283591,Thokozani Khupe,Q1146616,MDC–T
->,Q111283592->NULL,Thokozile Mathuthu,Q1910161,ZANU–PF
->,Q111283864->NULL,Tholakele Khumalo,Q15980776,NULL->MDC–N
->,Q111283865->NULL,Try Manyepa,NULL->Q1259323,NULL->Chiefs
->,Q111283559->NULL,Tsitsi Jadagu,Q1910161,ZANU–PF
->,Q111283594->NULL,Tsitsi Muzenda,Q1910161,ZANU–PF
->,Q111283595->NULL,Violet Moeketsi,Q1146616,MDC–T
->,Q111283596->NULL,Virginia Muchenje,Q1910161,ZANU–PF
->,Q111283866->NULL,Vuyani Ndiweni,NULL->Q1259323,NULL->Chiefs
->,Q111283597->NULL,Watchy Sibanda,Q1146616,MDC–T
->,Q111283867->NULL,Wilson Nebiri,NULL->Q1259323,NULL->Chiefs
->,Q111283868->NULL,Zama Mkhwananzi,NULL->Q1259323,NULL->Chiefs
