@@,itemlabel,item,startdate,enddate
+++,Didymus Mutasa,Q5274292,1980-05-14,1990
+++,Nolan Makombe,,1990-05-02,1995
+++,Cyril Ndebele,,1995-04-14,2000
+++,Emmerson Mnangagwa,Q510523,2000-07-01,2005
+++,John Nkomo,Q3274147,2005-04-01,2008-03-05
->,Lovemore Moyo,Q3264301,2008-08-25,2013-09-03->2013-06-27
---,Mabel Chinomona,Q93452160,2013-09-03,2018
->,Jacob Mudenda,Q58007739,2013-09-03->2013-08-22,
