item,name,party,partyLabel,constituency,constituencyLabel,startDate,endDate,gender,psid
Q111281520,Albert Mhlanga,Q1146616,MDC–T,,,2008-08-25,2013-06-27,male,Q111281520-C33E3170-093C-4E4A-B70A-339E40171F88
Q111281522,Alexio Musundire,Q1146616,MDC–T,,,2008-08-25,2013-06-27,male,Q111281522-C457C133-7998-424B-A9AE-8665123AB977
Q111281606,Anastancia Ndhlovu,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,female,Q111281606-C2580FFA-9ED6-4B03-8777-0A46D6162795
Q111281615,Cephas Sindi,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,male,Q111281615-2A85E62E-01DC-4492-A71B-FDB79077A7B9
Q111281628,Dorcas Sibanda,Q1146616,MDC–T,,,2008-08-25,2013-06-27,female,Q111281628-B846BF00-1E2C-4942-AD39-C05653C8CEF3
Q111281629,Dorothy Mangami,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,female,Q111281629-DBA42C30-F1F0-47B4-AE34-1F3ED406219E
Q111281648,Gift Chimanikire,Q1146616,MDC–T,,,2008-08-25,2013-06-27,male,Q111281648-CEF0D97C-ECCE-4320-96C6-27F6895B6A38
Q111281668,Josephat Madubeko,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,male,Q111281668-CAB39A7C-799E-4438-A17B-485AE364C8D4
Q111281676,Kizito Chivamba,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,male,Q111281676-8974D414-45C9-4A62-B229-2C9E116A47F2
Q111281683,Lucia Matibenga,Q1146616,MDC–T,,,2008-08-25,2013-06-27,female,Q111281683-2660FD2E-CB5C-4D49-BD3E-41B003E338DD
Q111281692,Makhosini Hlongwane,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,male,Q111281692-2628F63B-3482-41C7-9E79-61799244AC1C
Q111281696,Margaret Matienga,Q1146616,MDC–T,,,2008-08-25,2013-06-27,female,Q111281696-65452852-F254-4E4A-9323-AD3F87DF314A
Q111281721,Paul Madzore,Q1146616,MDC–T,,,2008-08-25,2013-06-27,male,Q111281721-4D3C129E-A54A-4B21-BFBE-C31CA13CEBE1
Q111281733,Reggie Moyo,Q1146616,MDC–T,,,2008-08-25,2013-06-27,male,Q111281733-6104C8B7-9EB9-46BA-B8FD-2BB4E981FB00
Q111281742,Settlement Chikwinya,Q1146616,MDC–T,,,2008-08-25,2013-06-27,male,Q111281742-0A044DF9-F1AF-4087-A058-F63D23CCD023
Q111281751,Tapiwa Mashakada,Q1146616,MDC–T,,,2008-08-25,2013-06-27,male,Q111281751-B69B962D-1041-4DB9-A51C-9598FD79C0BE
Q111281760,Thabitha Khumalo,Q1146616,MDC–T,,,2008-08-25,2013-06-27,female,Q111281760-E7A44969-DE2F-4B18-B9EB-32D0FAFA1A58
Q111281768,Trevor Saruwaka,Q1146616,MDC–T,,,2008-08-25,2013-06-27,male,Q111281768-2D5DCEF1-1B2E-4D16-85F7-793A11DD24A2
Q111281775,William Mutomba,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,male,Q111281775-7FA55E67-0521-4386-8C3D-2848C41E0860
Q111282849,Amos Chibaya,Q1146616,MDC–T,,,2008-08-25,2013-06-27,,Q111282849-DDA02AE8-A106-41A3-9221-8692CEAE3B9F
Q111291744,Douglas Mwonzora,Q1146616,MDC–T,,,2008-08-25,2013-06-27,,Q111291744-9FFBBFDA-D30B-485E-8EB3-E65C3C730CCC
Q111291983,Lynette Karenyi,Q1146616,MDC–T,,,2008-08-25,2013-06-27,,Q111291983-F799A768-6C45-4E63-BBE2-145FA275F449
Q111292044,Mathias Matewu Mlambo,Q1146616,MDC–T,,,2008-08-25,2013-06-27,,Q111292044-46E53D4C-498A-4324-954D-1FE0DCE93577
Q111295037,Abraham Sithole,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,,Q111295037-4D5AF798-5EDE-4D44-80F7-0BA6230CFB1F
Q111295038,Alice Mwaemura Chitima,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,,Q111295038-90AA4CD6-2D39-47E6-8C89-1C54D1A5188B
Q111295040,Alois Baolyi,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,,Q111295040-10A545F2-2546-40B9-B72C-60702102C18C
