item,name,party,partyLabel,constituency,constituencyLabel,startDate,endDate,gender,psid
Q111281756,Tendayi Makunde,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,male,Q111281756-B442BF38-0B11-444D-999C-B4BF0C402D9C
Q111283547,Agnes Sibanda,Q1146616,MDC–T,,,2008-08-25,2013-06-27,female,Q111283547-11E4A1FB-EE18-4BA2-8BC9-8402D3097FA0
Q111283548,Alice Chimbudzi,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,female,Q111283548-BA108698-B138-4393-BB84-C52F821EDACA
Q111283562,James Makore,Q1146616,MDC–T,,,2008-08-25,2013-06-27,male,Q111283562-709AAE5F-CC03-458F-A552-719C81D19656
Q111283564,Jenia Manyeruke,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,female,Q111283564-34CABB23-7F85-4D3A-A523-445954A7D6C4
Q111283582,Patrick Chitaka,Q1146616,MDC–T,,,2008-08-25,2013-06-27,male,Q111283582-C5CB23B4-649F-4B24-B4C1-D2195FAD13C0
Q111283583,Rorana Muchihwa,Q1146616,MDC–T,,,2008-08-25,2013-06-27,female,Q111283583-C19602A2-37F2-49E4-8D26-9BA17CEB8AD2
Q111283588,Siphiwe Ncube,Q1146616,MDC–T,,,2008-08-25,2013-06-27,female,Q111283588-B59E7B10-3DEC-4E64-B026-EFA0CC0DF078
Q111291752,Keresencia Chabuka,Q1146616,MDC–T,,,2008-08-25,2013-06-27,,Q111291752-BDAF55D4-315F-4858-B3F7-2A6864BCF4C7
Q111313735,Agnes Dete,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,,Q111313735-4A59DE2B-BA31-4046-945B-78B1D7C291BD
Q111313736,Damian Mumvuri,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,,Q111313736-F62775EF-CCCB-47FA-A55B-F30B49E13BA6
Q111313737,Edmund Jacob,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,,Q111313737-551F7E7B-F038-4EBE-B740-E39E77A6E60B
Q111313738,Enna Chitsa,Q1146616,MDC–T,,,2008-08-25,2013-06-27,,Q111313738-802B992F-911C-40FE-B404-5BFEA09C6654
Q111313739,Gerturde Chibagu,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,,Q111313739-34A31B27-8915-40EA-87F9-5C79A76AC83E
Q111313740,Gladys Dube,Q1146616,MDC–T,,,2008-08-25,2013-06-27,,Q111313740-AD1AF7DC-03B5-4FAB-9914-EF575769644B
Q111313741,Gladys Mabhiza,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,,Q111313741-B335641D-DB76-4932-A26F-8580662840E1
Q111313742,Josiah Rimbi,Q1146616,MDC–T,,,2008-08-25,2013-06-27,,Q111313742-D04FC0C9-A5B9-47CD-9CE5-30F3F81DF331
Q111313743,Matson Mpofu,Q1146616,MDC–T,,,2008-08-25,2013-06-27,,Q111313743-A7933579-3151-49EE-8E80-0B4A5D4B7BE1
Q111313745,Misheck Chando,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,,Q111313745-FAA2C22F-0607-4043-B78A-53E53C15A6EF
Q111313746,Monica Mustvangwa,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,,Q111313746-89574AF4-30ED-4CA2-8E7A-4A414F9FE561
Q111313747,Obert Gutu,Q1146616,MDC–T,,,2008-08-25,2013-06-27,,Q111313747-F2CAD9A0-1191-4831-9FA5-809F42032892
Q111313748,Oriah Kabayanjiri,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,,Q111313748-0122DD72-4047-4970-B122-48FF459F2060
Q111313749,Rutendo Chikukwa,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,,Q111313749-E5F4E9DE-58CB-4717-83C8-611750E07B28
Q111313750,Samuel Tsungirirai,Q1146616,MDC–T,,,2008-08-25,2013-06-27,,Q111313750-25143E30-B9EB-49E9-86CD-A6B47AC59848
Q111313751,Stanley Sakupwanya,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,,Q111313751-5824BDB1-6F25-436C-9EC5-7EBF5AFE56B6
Q111313752,Sydney Sekeremayi,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,,Q111313752-121047C2-7FE2-4FD2-97BA-4C20D0A0114F
Q16136022,Morgan Femai,Q1146616,MDC–T,,,2008-08-25,2013-06-27,male,Q16136022-453B48A0-37FB-400B-A3CA-4C8968B7D82E
Q3133488,Herbert Murerwa,Q1910161,ZANU–PF,,,2008-08-25,2013-06-27,male,Q3133488-4F7098E6-ABC0-4EE4-8451-941D1206159D
Q5232494,David Coltart,Q15980776,,,,2008-08-25,2013-06-27,male,Q5232494-A730324E-7F8D-4B7B-AC60-FACCA8036390
Q7447116,Sekai Holland,Q1146616,MDC–T,,,2008-08-25,2013-06-27,female,Q7447116-25DF9D02-E64C-4292-8F15-C1ECEB560D56
