item,name,party,partyLabel
,Siphiwe Ncube,Q1146616,MDC-T
,Agnes Sibanda,Q1146616,MDC-T
Q5232494,David Coltart,Q15980776,MDC-M
,Gladys Dube,Q1146616,MDC-T
,Enna Chitsa,Q1146616,MDC-T
,Matson Mpofu,Q1146616,MDC-T
Q16136022,Morgan Femai,Q1146616,MDC-T
,Obert Gutu,Q1146616,MDC-T
,James Makore,Q1146616,MDC-T
Q7447116,Sekai Holland,Q1146616,MDC-T
,Rorana Muchihwa,Q1146616,MDC-T
,Rutendo Chikukwa,Q1910161,ZANU-PF
,Samuel Tsungirirai,Q1146616,MDC-T
,Monica Mustvangwa,Q1910161,ZANU-PF
,Josiah Rimbi,Q1146616,MDC-T
,Stanley Sakupwanya,Q1910161,ZANU-PF
,Keresencia Chabuka,Q1146616,MDC-T
,Patrick Chitaka,Q1146616,MDC-T
,Misheck Chando,Q1910161,ZANU-PF
,Gerturde Chibagu,Q1910161,ZANU-PF
,Agnes Dete,Q1910161,ZANU-PF
,Alice Chimbudzi,Q1910161,ZANU-PF
,Jenia Manyeruke,Q1910161,ZANU-PF
,Damian Mumvuri,Q1910161,ZANU-PF
,Gladys Mabhiza,Q1910161,ZANU-PF
,Sydney Sekeremayi,Q1910161,ZANU-PF
Q3133488,Herbert Murerwa,Q1910161,ZANU-PF
,Tendayi Makunde,Q1910161,ZANU-PF
,Edmund Jacob,Q1910161,ZANU-PF
,Oriah Kabayanjiri,Q1910161,ZANU-PF
