@@,item,name,party,partylabel
->,Q111313735->NULL,Agnes Dete,Q1910161,ZANU–PF->ZANU-PF
->,Q111283547->NULL,Agnes Sibanda,Q1146616,MDC–T->MDC-T
->,Q111283548->NULL,Alice Chimbudzi,Q1910161,ZANU–PF->ZANU-PF
->,Q111313736->NULL,Damian Mumvuri,Q1910161,ZANU–PF->ZANU-PF
->,Q5232494,David Coltart,Q15980776,NULL->MDC-M
->,Q111313737->NULL,Edmund Jacob,Q1910161,ZANU–PF->ZANU-PF
->,Q111313738->NULL,Enna Chitsa,Q1146616,MDC–T->MDC-T
->,Q111313739->NULL,Gerturde Chibagu,Q1910161,ZANU–PF->ZANU-PF
->,Q111313740->NULL,Gladys Dube,Q1146616,MDC–T->MDC-T
->,Q111313741->NULL,Gladys Mabhiza,Q1910161,ZANU–PF->ZANU-PF
->,Q3133488,Herbert Murerwa,Q1910161,ZANU–PF->ZANU-PF
->,Q111283562->NULL,James Makore,Q1146616,MDC–T->MDC-T
->,Q111283564->NULL,Jenia Manyeruke,Q1910161,ZANU–PF->ZANU-PF
->,Q111313742->NULL,Josiah Rimbi,Q1146616,MDC–T->MDC-T
->,Q111291752->NULL,Keresencia Chabuka,Q1146616,MDC–T->MDC-T
->,Q111313743->NULL,Matson Mpofu,Q1146616,MDC–T->MDC-T
->,Q111313745->NULL,Misheck Chando,Q1910161,ZANU–PF->ZANU-PF
->,Q111313746->NULL,Monica Mustvangwa,Q1910161,ZANU–PF->ZANU-PF
->,Q16136022,Morgan Femai,Q1146616,MDC–T->MDC-T
->,Q111313747->NULL,Obert Gutu,Q1146616,MDC–T->MDC-T
->,Q111313748->NULL,Oriah Kabayanjiri,Q1910161,ZANU–PF->ZANU-PF
->,Q111283582->NULL,Patrick Chitaka,Q1146616,MDC–T->MDC-T
->,Q111283583->NULL,Rorana Muchihwa,Q1146616,MDC–T->MDC-T
->,Q111313749->NULL,Rutendo Chikukwa,Q1910161,ZANU–PF->ZANU-PF
->,Q111313750->NULL,Samuel Tsungirirai,Q1146616,MDC–T->MDC-T
->,Q7447116,Sekai Holland,Q1146616,MDC–T->MDC-T
->,Q111283588->NULL,Siphiwe Ncube,Q1146616,MDC–T->MDC-T
->,Q111313751->NULL,Stanley Sakupwanya,Q1910161,ZANU–PF->ZANU-PF
->,Q111313752->NULL,Sydney Sekeremayi,Q1910161,ZANU–PF->ZANU-PF
->,Q111281756->NULL,Tendayi Makunde,Q1910161,ZANU–PF->ZANU-PF
