item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q5091394,Chenhanho Chimutengwende,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q5091394-FA8BF765-F78F-4CD6-BFE8-23B60719E6DD
Q5238373,David Parirenyatwa,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q5238373-E8DAD3CB-2E2F-4C0A-81B3-BDD6B509D4EC
Q5340066,Edna Madzongwe,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,female,Q5340066-2E6C32AD-C3D0-4C80-BE0A-74C5DDE780F4
Q5460278,Flora Buka,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,female,Q5460278-9EE0FAEB-25A0-4DB3-AACD-F1639D4D997E
Q6848219,Mike Nyambuya,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q6848219-E696DE86-D0F9-4E09-980F-75F0F7960CAA
Q85118775,Monica Mutsvangwa,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,female,Q85118775-AC003163-DCDD-4E69-881F-BAA2EF3238B8
Q7088073,Olivia Muchena,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,female,Q7088073-B153FF7E-1444-4F8F-887F-2D28E8619395
Q20872132,Prisca Mupfumira,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,female,Q20872132-4FCD62E6-70F6-48D8-BA20-5EB3914FA443
Q7447116,Sekai Holland,Q1146616,Movement for Democratic Change – Tsvangirai,,,2013-09-17,2018-07-29,female,Q7447116-107F271C-2001-46CC-9541-AAE79A844A96
Q514464,Simbarashe Mumbengegwi,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q514464-98349390-B66B-4ABE-A1E0-BECA38D120B8
Q16866539,Simon Khaya-Moyo,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q16866539-FEF2D22D-FF63-431F-BBA0-907383B823E4
Q7660136,Sydney Sekeramayi,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q7660136-B1CCDD21-0726-42FB-B1BE-32A389C43691
