item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender
,Address Matiirira,Q1910161,ZANU PF,,Mashonaland East,,,female
,Agnes Sibanda,Q1146616,MDC-T,,Bulawayo,,,female
,Alice Chimbudzi,Q1910161,ZANU PF,,Mashonaland central,,,female
,Alma Mkhwebu,Q1910161,ZANU PF,,Mashonaland South,,,female
,Alma Mkhwebu,Q1910161,ZANU PF,,Matebeleland South,,,female
,Alphina Juba,Q1146616,MDC-T,,Matebeleland North,,,female
,Angelina Masuku,Q1910161,ZANU PF,,Bulawayo,,,female
,Cain G. Mathema,Q1910161,ZANU PF,,Mashonaland North,,,male
,Charles Tawengwa,Q1910161,ZANU PF,,Harare,,,male
,Chenhamo C. C. Chimutengwede,Q1910161,ZANU PF,,Mashonaland central,,,male
,Damian D. E. Mumvuri,Q1910161,ZANU PF,,Mashonaland central,,,male
,Dorothy Tholakele Khumalo,Q15980776,MDC,,Bulawayo,,,female
,Dzikamai Calisto Mavhaire,Q1910161,ZANU PF,,Masvingo,,,male
,Edna Madzongwe,Q1910161,ZANU PF,,Mashonaland West,,,female
,Farirai Ethel Mabhungu,Q1146616,MDC-T,,Masvingo,,,female
,Flora Buka,Q1910161,ZANU PF,,Midlands,,,female
,Grace Tsitsi Jadagu,Q1910161,ZANU PF,,Harare,,,female
,Herbert M. Sinampande,Q1146616,MDC-T,,Matebeleland North,,,male
,Jaison Max Korerai Machaya,Q1910161,ZANU PF,,Midlands,,,male
,James Makore,Q1146616,MDC-T,,Harare,,,male
,Jane Chifamba,Q1146616,MDC-T,,Mashonaland East,,,female
,Jenia Manyeruke,Q1910161,ZANU PF,,Mashonaland central,,,female
,Josiah D. Hungwe,Q1910161,ZANU PF,,Masvingo,,,male
,Joyce Ndhlovu,Q15980776,MDC,,Matebeleland South,,,female
,Judith Mawire,Q1910161,ZANU PF,,Manicaland,,,female
,Keresina Chabuka,Q1146616,MDC-T,,Manicaland,,,
,Kumbirai Kangai,Q1910161,ZANU PF,,Manicaland,,,male
,Lilian Timveos,Q1146616,MDC-T,,Midlands,,,female
,Lwazi Sibanda,Q1146616,MDC-T,,Matebeleland North,,,female
,Mail Nkomo,Q1910161,ZANU PF,,Matebeleland North,,,male
,Martha Muronzi,Q1146616,MDC-T,,Mashonaland central,,,female
,Matson M. Hlalo,Q1146616,MDC-T,,Bulawayo,,,male
,Medelina Bhebhe,Q1910161,ZANU PF,,Mashonaland North,,,female
,Michael Norman Carter,Q1146616,MDC-T,,Bulawayo,,,male
,Michael R. Nyambuya,Q1910161,ZANU PF,,Manicaland,,,male
,Mike M. Byton,Q1910161,ZANU PF,,Mashonaland West,,,male
,Miriam Chikukwa,Q1910161,ZANU PF,,Harare,,,female
,Misheck Marava,Q1146616,MDC-T,,Masvingo,,,male
,Mlotshwa Sithembile,Q1146616,MDC-T,,Matebeleland South,,,female
,Molly Mkandla,Q1910161,ZANU PF,,Matebeleland North,,,female
,Monica Mutsvangwa,Q1910161,ZANU PF,,Manicaland,,,female
,Monicah Mavhunga,Q1910161,ZANU PF,,Mashonaland central,,,female
,Morgen Komichi,Q1146616,MDC-T,,Midlands,,,male
,Muhlava Otilia Maluleke,Q1910161,ZANU PF,,Masvingo,,,female
,Olivia N. Muchena,Q1910161,ZANU PF,,Mashonaland East,,,female
,Pagwese David Parirenyatwa,Q1910161,ZANU PF,,Mashonaland East,,,male
,Patrick Chitaka,Q1146616,MDC-T,,Manicaland,,,male
,Prisca Mupfumira,Q1910161,ZANU PF,,Mashonaland West,,,female
,Rorana Muchihwa,Q1146616,MDC-T,,Harare,,,female
,Rosemary Goto,Q1910161,ZANU PF,,Mashonaland East,,,female
,Rosemary Nyathi,Q1146616,MDC-T,,Mashonaland North,,,female
,Ruth Mafoko Labode,Q1146616,MDC-T,,Matebeleland North,,,female
,Sekai Masikana Holland,Q1146616,MDC-T,,Harare,,,female
,Shuvai Ben Mahofa,Q1910161,ZANU PF,,Masvingo,,,female
,Sibusisiwe Budha,Q1146616,MDC-T,,Matebeleland North,,,female
,Sikhanyisiwe Mpofu,Q1910161,ZANU PF,,Matebeleland North,,,female
,Simon K. Moyo,Q1910161,ZANU PF,,Matebeleland South,,,male
,Siphiwe Ncube,Q1146616,MDC-T,,Bulawayo,,,female
,Sithembile Mlotshwa,Q1146616,MDC-T,,Mashonaland South,,,female
,Sydney T. Sekeramayi,Q1910161,ZANU PF,,Mashonaland East,,,male
,Tapera Machingaifa,Q1910161,ZANU PF,,Mashonaland West,,,male
,Thokozani Khupe,Q1146616,MDC-T,,Bulawayo,,,female
,Thokozile A. Mathuthu,Q1910161,ZANU PF,,Mashonaland North,,,female
,Tholakele Khumalo,Q15980776,MDC,,,,,female
,Tsitsi V. Muzenda,Q1910161,ZANU PF,,Midlands,,,female
,Violet Moeketsi,Q1146616,MDC-T,,Mashonaland West,,,female
,Virginia Muchenje,Q1910161,ZANU PF,,Mashonaland West,,,female
,Watchy Sibanda,Q1146616,MDC-T,,Matebeleland South,,,male
