position,title
Q5453168,First Lady
Q111263225,Deputy Minister of Agriculture
Q111262037,Deputy Speaker of the House of Assembly
Q85751938,Air Force Commander
Q111327973,Supreme Court Justice
Q111317883,Governor of Mashonaland East
Q111317803,Governor of Mashonaland West
Q111317452,Governor of Matabeleland North
Q111314325,Mayor of Harare
Q48699163,Mayor of Bulawayo
Q48699055,Mayor of Mutare
Q111417789,ambassador to Algeria
Q106307251,ambassador to Angola
Q111417718,ambassador to Australia
Q111418011,ambassador to Botswana
Q111417705,ambassador to Brazil
Q111418308,ambassador to Canada
Q38610246,ambassador to China
Q111418036,ambassador to Egypt
Q111418073,ambassador to Ethiopia
Q111417711,ambassador to France
Q111417540,ambassador to Germany
Q111418091,ambassador to Ghana
Q111417725,ambassador to Indonesia
Q111417586,ambassador to Iran
Q111418317,ambassador to Italy
Q111418109,ambassador to Kenya
Q111417694,ambassador to Kuwait
Q111417778,ambassador to Mozambique
Q111418217,ambassador to Namibia
Q111418250,ambassador to Nigeria
Q111417432,ambassador to Russia
Q111417715,ambassador to Rwanda
Q111313938,ambassador to Senegal
Q109587302,ambassador to South Africa
Q111417730,ambassador to Sudan
Q111417524,ambassador to Sweden
Q111417767,ambassador to Tanzania
Q111417576,ambassador to the United Arab Emirates
Q111417353,ambassador to the United Kingdom
Q28060657,ambassador to the United States of America
Q111417443,Permanent Representative to the United Nations
Q111417645,Permanent Representative to the United Nations in Geneva
