@@,item,name,party,partylabel
->,Q111281652->NULL,Godfrey Sithole,Q48800088,MDC Alliance
->,Q111291952->NULL,Goodluck Kwaramba,Q1910161,ZANU–PF
->,Q111291953->NULL,Goodrich Chimbaira,Q48800088,MDC Alliance
->,Q111291954->NULL,Gorden Chanda,Q1910161,ZANU–PF
->,Q111291955->NULL,Happymore Chidziva,Q48800088,MDC Alliance
->,Q111291956->NULL,Hebert Shumbamhini,Q1910161,ZANU–PF
->,Q111291957->NULL,Ilos Nyoni,Q48800088,MDC Alliance
->,Q111281655->NULL,Innocent Gonese,Q48800088,MDC Alliance
->,Q111291958->NULL,Jacob Nyokanhete,Q48800088,MDC Alliance
->,Q111291959->NULL,James Chidakwa,Q48800088,MDC Alliance
->,Q111291960->NULL,James Munetsi,Q1910161,ZANU–PF
->,Q111291961->NULL,James Sithole,Q48800088,MDC Alliance
->,Q111282870->NULL,Jasmine Toffa,Q48800088,MDC Alliance
->,Q111291962->NULL,Jefry Ngome,Q1910161,ZANU–PF
->,Q110197420->NULL,Jenfan Muswere,Q1910161,ZANU–PF
->,Q111282871->NULL,Jennifer Mhlanga,Q1910161,ZANU–PF
->,Q111291963->NULL,John Chamunorwa Mangwiro,Q1910161,ZANU–PF
->,Q111291964->NULL,John Paradza,Q1910161,ZANU–PF
->,Q111291965->NULL,Johnson Madhuku,Q1910161,ZANU–PF
->,Q111291966->NULL,Jonah Nyikadzino Sewera,Q1910161,ZANU–PF
->,Q111291967->NULL,Josephine Shava,Q1910161,ZANU–PF
->,Q111291968->NULL,Joshua Murire,Q1910161,ZANU–PF
->,Q111291969->NULL,Joshua Sacco,Q1910161,ZANU–PF
->,Q111291970->NULL,Josiah Sithole,Q1910161,ZANU–PF
->,Q111291971->NULL,Joyce Jaja,Q48800088,MDC Alliance
->,Q111282874->NULL,Joyce Makonya,Q48800088,MDC Alliance
->,Q111291972->NULL,Judith Mkwanda,Q1910161,ZANU–PF
->,Q111291973->NULL,Kanhutu Irene Nzenza,Q1910161,ZANU–PF
---,Q6386891,Kembo Mohadi,,
->,Q111291974->NULL,Kennedy Dinar,Q48800088,MDC Alliance
->,Q111291975->NULL,Kenneth Musanhi,Q1910161,ZANU–PF
->,Q111291976->NULL,Killer Zivhu,Q1910161,ZANU–PF
->,Q111291977->NULL,Killion Kalisto Gwanetsa,Q1910161,ZANU–PF
->,Q111281675->NULL,Kindness Paradza,Q1910161,ZANU–PF
->,Q111291978->NULL,Kucaca Phulu,Q48800088,MDC Alliance
->,Q111281680->NULL,Leonard Chikomba,Q1910161,ZANU–PF
->,Q111291979->NULL,Levi Mayihlome,Q1910161,ZANU–PF
->,Q111291980->NULL,Lilian Zimura,Q1910161,ZANU–PF
->,Q111291981->NULL,Livingstone Chimina,Q48800088,MDC Alliance
->,Q111291982->NULL,Lloyd Mukapiko,Q48800088,MDC Alliance
->,Q111282875->NULL,Lucia Chitura,Q1910161,ZANU–PF
->,Q111291983->NULL,Lynette Karenyi,Q48800088,MDC Alliance
->,Q111281689->NULL,Madodana Sibanda,Q1910161,ZANU–PF
->,Q111291984->NULL,Magna Mudyiwa,Q1910161,ZANU–PF
->,Q111291985->NULL,Male Mukomo,Q1910161,ZANU–PF
->,Q111291986->NULL,Marian Chombo,Q1910161,ZANU–PF
->,Q111291987->NULL,Marko Raidza,Q1910161,ZANU–PF
->,Q111281698->NULL,Martin Khumalo,Q1910161,ZANU–PF
->,Q111292043->NULL,Mary Mliswa,Q1910161,ZANU–PF
->,Q97816798,Masango Matambanadzo,Q6974828->Q56276643,National Patriotic Front->NPF
->,Q100524761->NULL,Mathew Nyashanu,Q1910161,ZANU–PF
->,Q111292044->NULL,Mathias Matewu Mlambo,Q48800088,MDC Alliance
->,Q111281701->NULL,Mathias Tongofa,Q1910161,ZANU–PF
->,Q111292046->NULL,Maxwell Mavhunga,Q48800088,MDC Alliance
->,Q111292047->NULL,Mayor Justice Wadyajena,Q1910161,ZANU–PF
->,Q111292048->NULL,Memory Bodhiya,Q48800088,MDC Alliance
->,Q111292049->NULL,Michael Madiro,Q1910161,ZANU–PF
->,Q111292050->NULL,Miriam Mushayi,Q48800088,MDC Alliance
->,Q111292051->NULL,Mirriam Rutendo Chikukwa,Q1910161,ZANU–PF
->,Q111292052->NULL,Misheck Mataranyika,Q1910161,ZANU–PF
->,Q111283578->NULL,Molly Mkandla,Q1910161,ZANU–PF
->,Q111292053->NULL,Mthokozisi Manoki Mpofu,Q1910161,ZANU–PF
->,Q111292054->NULL,Muchineripi Chinyanganya,Q48800088,MDC Alliance
->,Q111292055->NULL,Ngoni Masenda,Q1910161,ZANU–PF
->,Q111292056->NULL,Nokuthula Matsikenyere,Q1910161,ZANU–PF
->,Q111292057->NULL,Norman Marikisi,Q1910161,ZANU–PF
->,Q111281717->NULL,Noveti Muponora,Q1910161,ZANU–PF
->,Q111292058->NULL,Nyarai Tsuura,Q1910161,ZANU–PF
->,Q111292059->NULL,Omar Joosbi,Q1910161,ZANU–PF
->,Q111292060->NULL,Omega Sibanda,Q1910161,ZANU–PF
->,Q111292061->NULL,Ophar Ncube,Q1910161,ZANU–PF
->,Q111292062->NULL,Ophias Murambiwa,Q1910161,ZANU–PF
->,Q111292063->NULL,Oscar Gorerino,Q1910161,ZANU–PF
->,Q111292064->NULL,Patrick Chidakwa,Q1910161,ZANU–PF
->,Q89084670->NULL,Patrick Dube,Q48800088,MDC Alliance
->,Q111292065->NULL,Patrick Dutiro,Q1910161,ZANU–PF
->,Q111292066->NULL,Perseverance Zhou,Q1910161,ZANU–PF
->,Q111281723->NULL,Peter Mataruse,Q48800088,MDC Alliance
->,Q111292067->NULL,Peter Moyo,Q48800088,MDC Alliance
->,Q111292068->NULL,Phelela Masuku,Q48800088,MDC Alliance
->,Q111292069->NULL,Polite Kambamwa,Q1910161,ZANU–PF
->,Q111292070->NULL,Precious Chinhamo Masango,Q1910161,ZANU–PF
->,Q111292071->NULL,Prince Dubeko Sibanda,Q48800088,MDC Alliance
->,Q7245611,Priscilla Misihairabwi-Mushonga,Q1146616,MDC–T->MDC–TKhuphe
->,Q111292072->NULL,Priscilla Moyo,Q1910161,ZANU–PF
->,Q111292073->NULL,Prosper Machando,Q1910161,ZANU–PF
->,Q111281729->NULL,Prosper Mutseyami,Q48800088,MDC Alliance
->,Q111292074->NULL,Pupurai Togarepi,Q1910161,ZANU–PF
->,Q111281732->NULL,Raymore Machingura,Q1910161,ZANU–PF
->,Q111292075->NULL,Regai Tsunga,Q48800088,MDC Alliance
->,Q111292076->NULL,Remigious Matangira,Q1910161,ZANU–PF
->,Q111292077->NULL,Reselyn Roseweater Makoni,Q1910161,ZANU–PF
->,Q111292078->NULL,Reuben Chikudo,Q48800088,MDC Alliance
->,Q111292079->NULL,Richard Moyo,Q1910161,ZANU–PF
->,Q111292080->NULL,Richard Musiyiwa,Q1910161,ZANU–PF
->,Q111292081->NULL,Richard Tsvangirai,Q48800088,MDC Alliance
->,Q111281735->NULL,Robson Mavenyengwa,Q1910161,ZANU–PF
->,Q111292082->NULL,Robson Ronald Nyathi,Q1910161,ZANU–PF
->,Q111292083->NULL,Royi Bhilla,Q1910161,ZANU–PF
->,Q111292084->NULL,Ruth Labode,Q48800088,MDC Alliance
->,Q111292086->NULL,Ruth Mavhungu Maboyi,Q1910161,ZANU–PF
->,Q111292087->NULL,Samuel Banda,Q48800088,MDC Alliance
->,Q111292088->NULL,Senzeni Mafuta,Q48800088,MDC Alliance
->,Q111281742->NULL,Settlement Chikwinya,Q48800088,MDC Alliance
->,Q111292089->NULL,Shakespear Hamauswa,Q48800088,MDC Alliance
->,Q111292091->NULL,Sibangumuzi Khumalo,Q1910161,ZANU–PF
->,Q111292092->NULL,Sibusisiwe Bhudha,Q48800088,MDC Alliance
->,Q111292093->NULL,Sichelesile Mahlangu,Q48800088,MDC Alliance
->,Q111281744->NULL,Simbaneuta Mudarikwa,Q1910161,ZANU–PF
->,Q111292094->NULL,Soda Zhamu,Q1910161,ZANU–PF
->,Q111292095->NULL,Sonny Key Mguni,Q1910161,ZANU–PF
->,Q111292096->NULL,Soul Dzuma,Q1910161,ZANU–PF
->,Q111281750->NULL,Soul Ncube,Q1910161,ZANU–PF
->,Q111292097->NULL,Spare Sithole,Q1910161,ZANU–PF
->,Q111292098->NULL,Spiwe Muchaneta Muchenje,Q48800088,MDC Alliance
->,Q111292099->NULL,Spiwe Mukunyaidze,Q1910161,ZANU–PF
->,Q111292100->NULL,Starman Chamisa,Q48800088,MDC Alliance
->,Q111292101->NULL,Stars Mathe,Q1910161,ZANU–PF
->,Q111292102->NULL,Stella Ndlovu,Q48800088,MDC Alliance
->,Q111292103->NULL,Stephen Kabozo,Q1910161,ZANU–PF
->,Q111292104->NULL,Stephen Ngwenya,Q1910161,ZANU–PF
->,Q111292105->NULL,Susan Madziwa,Q1910161,ZANU–PF
->,Q111292106->NULL,Susan Matsunga,Q48800088,MDC Alliance
->,Q111292107->NULL,Sydney Chidamba,Q1910161,ZANU–PF
->,Q111282893->NULL,Tafanana Zhou,Q1910161,ZANU–PF
->,Q111292108->NULL,Tapera Saizi,Q1910161,ZANU–PF
->,Q111281751->NULL,Tapiwa Mashakada,Q48800088,MDC Alliance
->,Q111292109->NULL,Tatenda Mavetera,Q1910161,ZANU–PF
->,Q111292110->NULL,Tavengwa Mukuhlani,Q1910161,ZANU–PF
->,Q111292111->NULL,Tawanda Karikoga,Q1910161,ZANU–PF
->,Q111292112->NULL,Tawanda Tungamirayi,Q1910161,ZANU–PF
->,Q111292113->NULL,Teedzai Percy Muchimwe,Q1910161,ZANU–PF
->,Q111281754->NULL,Temba Mliswa,Q327591,சுயே->Independent
->,Q111292114->NULL,Tendai Nyabani,Q1910161,ZANU–PF
->,Q111281760->NULL,Thabitha Khumalo,Q48800088,MDC Alliance
->,Q111292115->NULL,Tichaona Karimazondo,Q1910161,ZANU–PF
->,Q111292116->NULL,Tinoda Machakarika,Q1910161,ZANU–PF
->,Q111292117->NULL,Tobias Kashambe Munyaradzi,Q1910161,ZANU–PF
->,Q111292118->NULL,Torerayi Moyo,Q1910161,ZANU–PF
->,Q111292119->NULL,Tose Sansole,Q48800088,MDC Alliance
->,Q111292120->NULL,Trevor Lovelace Saruwaka,Q48800088,MDC Alliance
->,Q111281770->NULL,Tsitsi Gezi,Q1910161,ZANU–PF
->,Q111292121->NULL,Unganai Dickson Tarusenga,Q48800088,MDC Alliance
->,Q111292122->NULL,Variyeti Nhari,Q1910161,ZANU–PF
->,Q111292123->NULL,Victor Matemadanda,Q1910161,ZANU–PF
->,Q111292124->NULL,Virginia Zengeya,Q48800088,MDC Alliance
->,Q111292125->NULL,Wellington Chikombo,Q48800088,MDC Alliance
->,Q111281775->NULL,William Mutomba,Q1910161,ZANU–PF
->,Q111281776->NULL,Willias Madzimure,Q48800088,MDC Alliance
->,Q111292126->NULL,Winnie Kankuni,Q48800088,MDC Alliance
->,Q111292127->NULL,Wiston Chitando,Q1910161,ZANU–PF
->,Q111282895->NULL,Yeukai Simbanegavi,Q1910161,ZANU–PF
->,Q111281779->NULL,Zenzo Sibanda,Q1910161,ZANU–PF
