@@,item,name,party,partylabel
->,Q111281517->NULL,Abedinico Ncube,Q1910161,ZANU–PF
->,Q111291896->NULL,Ability Gandawa,Q1910161,ZANU–PF
->,Q111291897->NULL,Albert Nguluvhe,Q1910161,ZANU–PF
->,Q111291898->NULL,Alum Mpofu,Q1910161,ZANU–PF
->,Q111282849->NULL,Amos Chibaya,Q48800088,MDC Alliance
->,Q111291899->NULL,Andrew Nkani,Q1910161,ZANU–PF
->,Q111281607->NULL,Anele Ndebele,Q48800088,MDC Alliance
->,Q111291900->NULL,Annah Myambo,Q48800088,MDC Alliance
->,Q111291901->NULL,Augustine Dumo Musikavanhu,Q1910161,ZANU–PF
->,Q111291902->NULL,Bacilia Majaya,Q48800088,MDC Alliance
->,Q111291903->NULL,Bannwell Seremwe,Q1910161,ZANU–PF
->,Q111291905->NULL,Barbara Rwodzi,Q1910161,ZANU–PF
->,Q111281611->NULL,Berta Chikwama,Q1910161,ZANU–PF
->,Q105071475->NULL,Biggie Joel Matiza,Q1910161,ZANU–PF
->,Q111291908->NULL,Bramwell Bushu,Q1910161,ZANU–PF
->,Q111291909->NULL,Brian Dube,Q48800088,MDC Alliance
->,Q111291910->NULL,Brightness Mangora,Q48800088,MDC Alliance
->,Q111291911->NULL,Campion Takura Mugweni,Q1910161,ZANU–PF
->,Q111291912->NULL,Caston Matewu,Q48800088,MDC Alliance
->,Q111291913->NULL,Catherine Gozho,Q48800088,MDC Alliance
->,Q111291914->NULL,Cecil Kashiri,Q1910161,ZANU–PF
->,Q111291915->NULL,Chalton Hwende,Q48800088,MDC Alliance
->,Q111291916->NULL,Charles Moyo,Q48800088,MDC Alliance
->,Q111291917->NULL,Chido Madiwa,Q1910161,ZANU–PF
->,Q111291918->NULL,Chido Sanyatwe,Q1910161,ZANU–PF
->,Q111282855->NULL,Christina Nyere,Q1910161,ZANU–PF
->,Q111291919->NULL,Claudious Maronge,Q1910161,ZANU–PF
->,Q111291920->NULL,Clemence Chiduwa,Q1910161,ZANU–PF
->,Q111291921->NULL,Colletta Mutambisi,Q1910161,ZANU–PF
->,Q111291922->NULL,Consilia Chinanzvavana,Q48800088,MDC Alliance
->,Q111291923->NULL,Constance Chihururu,Q48800088,MDC Alliance
->,Q111281622->NULL,Costa Machingauta,Q48800088,MDC Alliance
->,Q111291924->NULL,Cuthbert Mpame,Q1910161,ZANU–PF
->,Q5218173,Daniel Molokele->Daniel Molokela,Q48800088,MDC Alliance
->,Q111291925->NULL,David Musabayana,Q1910161,ZANU–PF
->,Q111291926->NULL,David Tekeshe,Q48800088,MDC Alliance
->,Q111291927->NULL,Davison Marapira,Q1910161,ZANU–PF
->,Q111291928->NULL,Davison Svuure,Q1910161,ZANU–PF
->,Q111281625->NULL,Denford Masiya,Q1910161,ZANU–PF
->,Q111291929->NULL,Dexter Nduna,Q1910161,ZANU–PF
->,Q111281627->NULL,Dingilizwe Tshuma,Q48800088,MDC Alliance
->,Q111291930->NULL,Dingumuzi Phuti,Q1910161,ZANU–PF
->,Q111281628->NULL,Dorcas Sibanda,Q48800088,MDC Alliance
->,Q111282860->NULL,Dorothy Mashonganyika,Q1910161,ZANU–PF
->,Q111291931->NULL,Doubt Ndiweni,Q1910161,ZANU–PF
->,Q111270220->NULL,Douglas Karoro,Q1910161,ZANU–PF
->,Q111291932->NULL,Dumezweni Mawite,Q1910161,ZANU–PF
->,Q111291933->NULL,Earthrage Kureva,Q48800088,MDC Alliance
->,Q111291934->NULL,Edgar Moyo,Q1910161,ZANU–PF
->,Q111281634->NULL,Edmond Mhere,Q1910161,ZANU–PF
->,Q111291935->NULL,Edmond Mkaratigwa,Q1910161,ZANU–PF
->,Q111291936->NULL,Edmore Samambwa,Q1910161,ZANU–PF
->,Q111291938->NULL,Elias Musakwa,Q1910161,ZANU–PF
->,Q111291939->NULL,Elina Shirichena,Q1910161,ZANU–PF
->,Q111291940->NULL,Elizabeth Masuku,Q1910161,ZANU–PF
->,Q111282862->NULL,Elizabeth Shongedza,Q48800088,MDC Alliance
->,Q111291941->NULL,Energy Mutodi,Q1910161,ZANU–PF
->,Q111281636->NULL,Enock Porusingazi,Q1910161,ZANU–PF
->,Q111291942->NULL,Ephraim Gwanongodza,Q1910161,ZANU–PF
->,Q111281639->NULL,Erick Murai,Q48800088,MDC Alliance
->,Q111291943->NULL,Esther Chikuni,Q1910161,ZANU–PF
->,Q111291944->NULL,Ezra Ruvai Chadzamira,Q1910161,ZANU–PF
->,Q111291945->NULL,Farai Taruvinga,Q1910161,ZANU–PF
->,Q105649282->NULL,Felix Mhona,Q1910161,ZANU–PF
->,Q111291946->NULL,Fereska Nhambo,Q1910161,ZANU–PF
->,Q111291947->NULL,Francisca Ncube,Q48800088,MDC Alliance
->,Q111291948->NULL,Freddy Kapuya,Q1910161,ZANU–PF
->,Q111291949->NULL,Getrude Chibhagu,Q1910161,ZANU–PF
->,Q111291950->NULL,Girovah Dzepasi,Q1910161,ZANU–PF
->,Q111291951->NULL,Godfrey Dube,Q48800088,MDC Alliance
