item,name,party,partyLabel
Q91165040,Nicola Watson,Q48800088,MDC Alliance
,Ilos Nyoni,Q48800088,MDC Alliance
Q93838438,Raj Modi,Q1910161,ZANU–PF
,Dingilizwe Tshuma,Q48800088,MDC Alliance
Q5559982,Gift Banda,Q48800088,MDC Alliance
,Stella Ndlovu,Q48800088,MDC Alliance
,Anele Ndebele,Q48800088,MDC Alliance
,James Sithole,Q48800088,MDC Alliance
,Phelela Masuku,Q48800088,MDC Alliance
,Kucaca Phulu,Q48800088,MDC Alliance
,Charles Moyo,Q48800088,MDC Alliance
,Sichelesile Mahlangu,Q48800088,MDC Alliance
,Thabitha Khumalo,Q48800088,MDC Alliance
,Judith Mkwanda,Q1910161,ZANU–PF
Q7245611,Priscilla Misihairabwi-Mushonga,Q1146616,MDC–TKhuphe
,Ophar Ncube,Q1910161,ZANU–PF
,Dorcas Sibanda,Q48800088,MDC Alliance
,Jasmine Toffa,Q48800088,MDC Alliance
,Costa Machingauta,Q48800088,MDC Alliance
,Godfrey Sithole,Q48800088,MDC Alliance
,Maxwell Mavhunga,Q48800088,MDC Alliance
"",Edwin Mushoriwa,Q48800088,MDC Alliance
,Earthrage Kureva,Q48800088,MDC Alliance
,Wellington Chikombo,Q48800088,MDC Alliance
,Kennedy Dinar,Q48800088,MDC Alliance
,Richard Tsvangirai,Q48800088,MDC Alliance
Q6938737,Murisi Zwizwai,Q48800088,MDC Alliance
Q7410395,Tendai Biti,Q48800088,MDC Alliance
Q93469585,Rusty Markham,Q48800088,MDC Alliance
Q59655893,Tongai Mnangagwa,Q1910161,ZANU–PF
Q78315284,Joanah Mamombe,Q48800088,MDC Alliance
,Tapiwa Mashakada,Q48800088,MDC Alliance
,Erick Murai,Q48800088,MDC Alliance
,Happymore Chidziva,Q48800088,MDC Alliance
,Willias Madzimure,Q48800088,MDC Alliance
,Miriam Mushayi,Q48800088,MDC Alliance
,Chalton Hwende,Q48800088,MDC Alliance
,James Chidakwa,Q48800088,MDC Alliance
,Starman Chamisa,Q48800088,MDC Alliance
,Samuel Banda,Q48800088,MDC Alliance
,Susan Matsunga,Q48800088,MDC Alliance
,Peter Moyo,Q48800088,MDC Alliance
,Unganai Dickson Tarusenga,Q48800088,MDC Alliance
,Winnie Kankuni,Q48800088,MDC Alliance
,Shakespear Hamauswa,Q48800088,MDC Alliance
,Goodrich Chimbaira,Q48800088,MDC Alliance
Q86997401,Job Sikhala,Q48800088,MDC Alliance
,Mirriam Rutendo Chikukwa,Q1910161,ZANU–PF
,Joyce Jaja,Q48800088,MDC Alliance
,Susan Madziwa,Q1910161,ZANU–PF
Q7155466,Paurina Mpariwa,Q48800088,MDC Alliance
,Annah Myambo,Q48800088,MDC Alliance
,Virginia Zengeya,Q48800088,MDC Alliance
,Mathew Nyashanu,Q1910161,ZANU–PF
,William Mutomba,Q1910161,ZANU–PF
Q6282111,Joseph Chinotimba,Q1910161,ZANU–PF
,Soul Dzuma,Q1910161,ZANU–PF
,Joshua Sacco,Q1910161,ZANU–PF
,Nokuthula Matsikenyere,Q1910161,ZANU–PF
,Raymore Machingura,Q1910161,ZANU–PF
,Mathias Matewu Mlambo,Q48800088,MDC Alliance
,Enock Porusingazi,Q1910161,ZANU–PF
Q7507257,Sibonile Nyamudeza,Q48800088,MDC Alliance
,Prosper Mutseyami,Q48800088,MDC Alliance
Q93578158,Christopher Chingosho,Q1910161,ZANU–PF
,David Tekeshe,Q48800088,MDC Alliance
,James Munetsi,Q1910161,ZANU–PF
,Misheck Mataranyika,Q1910161,ZANU–PF
,Jenfan Muswere,Q1910161,ZANU–PF
,Joshua Murire,Q1910161,ZANU–PF
,Innocent Gonese,Q48800088,MDC Alliance
,Michael Madiro,Q1910161,ZANU–PF
,Jefry Ngome,Q1910161,ZANU–PF
,Teedzai Percy Muchimwe,Q1910161,ZANU–PF
,Trevor Lovelace Saruwaka,Q48800088,MDC Alliance
,Chido Madiwa,Q1910161,ZANU–PF
,Regai Tsunga,Q48800088,MDC Alliance
,Chido Sanyatwe,Q1910161,ZANU–PF
Q7641876,Supa Mandiwanzira,Q1910161,ZANU–PF
,Constance Chihururu,Q48800088,MDC Alliance
,Esther Chikuni,Q1910161,ZANU–PF
,Lucia Chitura,Q1910161,ZANU–PF
,Lynette Karenyi,Q48800088,MDC Alliance
,Joyce Makonya,Q48800088,MDC Alliance
Q7095508,Oppah Muchinguri,Q1910161,ZANU–PF
,Kenneth Musanhi,Q1910161,ZANU–PF
,Remigious Matangira,Q1910161,ZANU–PF
,Girovah Dzepasi,Q1910161,ZANU–PF
,Patrick Dutiro,Q1910161,ZANU–PF
,Sydney Chidamba,Q1910161,ZANU–PF
,Campion Takura Mugweni,Q1910161,ZANU–PF
Q16195944,Fortune Chasi,Q1910161,ZANU–PF
Q85850886,Kazembe Kazembe,Q1910161,ZANU–PF
,Douglas Karoro,Q1910161,ZANU–PF
,Norman Marikisi,Q1910161,ZANU–PF
,Noveti Muponora,Q1910161,ZANU–PF
,Stephen Kabozo,Q1910161,ZANU–PF
,Bannwell Seremwe,Q1910161,ZANU–PF
,Soda Zhamu,Q1910161,ZANU–PF
,Tapera Saizi,Q1910161,ZANU–PF
,Tendai Nyabani,Q1910161,ZANU–PF
,Oscar Gorerino,Q1910161,ZANU–PF
,Bramwell Bushu,Q1910161,ZANU–PF
,Getrude Chibhagu,Q1910161,ZANU–PF
,Tsitsi Gezi,Q1910161,ZANU–PF
,Bacilia Majaya,Q48800088,MDC Alliance
,Dorothy Mashonganyika,Q1910161,ZANU–PF
,Fereska Nhambo,Q1910161,ZANU–PF
,Elizabeth Shongedza,Q48800088,MDC Alliance
,Felix Mhona,Q1910161,ZANU–PF
,Kanhutu Irene Nzenza,Q1910161,ZANU–PF
,John Chamunorwa Mangwiro,Q1910161,ZANU–PF
Q7116568,Ozias Bvute,Q1910161,ZANU–PF
