item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q4741842,Ambrose Mutinhiri,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q4741842-ED4A916B-D96D-43DC-AFEF-B3EAA63EC1D3
Q4747917,Amos Midzi,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q4747917-84EB501E-49FD-4EF2-B8E5-05B7BC85FD3F
Q4757697,Andrew Langa,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q4757697-4B990B84-0801-4374-A168-333052216FF8
Q4795279,Arnold Tsunga,Q1146616,Movement for Democratic Change – Tsvangirai,,,2013-09-17,2018-07-29,male,Q4795279-03F42843-51BA-4BE6-855F-B8F4889527D1
Q107534597,Bekithemba Mpofu,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q107534597-358F82A0-2CAB-4DFB-BC71-701EF7094134
Q5107550,Chris Mushohwe,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q5107550-9E833EA3-C51F-4570-9607-66E041C31FC9
Q93578158,Christopher Chingosho,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q93578158-720EFD40-D2CC-474A-B33F-4525CF1FD777
Q32534048,Christopher Kuruneri,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q32534048-F7FE1508-CC23-4FB7-8D50-04EC0A2E8329
Q43266691,Christopher Mutsvangwa,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q43266691-7B57B48E-BA04-4030-81D4-27498E7A4334
Q5218758,Daniel Shumba,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q5218758-658A11B6-B76F-496E-A040-947814FCAD70
Q5231960,David Butau,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q5231960-A0B54F67-9112-434D-9765-70860018A856
Q5274292,Didymus Mutasa,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q5274292-A1BF16FA-1240-488D-A455-899BD97091EA
Q5301822,Douglas Mombeshora,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q5301822-05AAB0CE-EC59-4EE4-A4FD-5ED300276FA3
Q5335953,Eddie Cross,Q1146616,Movement for Democratic Change – Tsvangirai,,,2013-09-17,2018-07-29,male,Q5335953-DAD0D29A-427F-45F2-969C-FECCD4AAA912
Q5360562,Elias Mudzuri,Q1146616,Movement for Democratic Change – Tsvangirai,,,2013-09-17,2018-07-29,male,Q5360562-2924980B-8FBF-461F-BFBC-4A4C0E7BF870
Q510523,Emmerson Mnangagwa,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q510523-54327DFA-F27F-4A75-AC41-D5142659F8ED
Q16195944,Fortune Chasi,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q16195944-04454C18-B1B8-4875-92A1-2DEA3551B605
Q5584672,Gorden Moyo,Q1146616,Movement for Democratic Change – Tsvangirai,,,2013-09-17,2018-07-29,male,Q5584672-A8E77639-C23D-4ABD-80B1-A1CBD7DD6DCF
Q5927511,Hubert Nyanhongo,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q5927511-7DF93BE8-B600-4F06-AA88-288E7DF62839
Q16151660,Ignatious Chombo,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q16151660-BBE9223C-9D6F-457E-ACFB-F96B246180B5
Q58007739,Jacob Mudenda,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q58007739-463073AE-CE21-4FF7-89EA-1591AF6C3E21
Q6187759,Jessie Majome,Q1146616,Movement for Democratic Change – Tsvangirai,,,2013-09-17,2018-07-29,female,Q6187759-77A4CFB4-AD71-4B5D-BF20-45F1F1031F04
Q981736,Joice Mujuru,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,female,Q981736-11184FD8-F24F-47DE-9C3B-4E9F6014C296
Q3183430,Jonathan Moyo,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q3183430-250F4CC8-0D62-4A7F-8E67-F9EA471D30E5
Q6276249,Joram Gumbo,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q6276249-1F2F6570-85DD-419B-9405-06D75507CEDB
Q6282111,Joseph Chinotimba,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q6282111-96F3B674-86A2-48CF-AA7D-A4824D0331B5
Q6285211,Joseph Made,Q1910161,Zimbabwe African National Union – Patriotic Front,,,2013-09-17,2018-07-29,male,Q6285211-C5D46014-3BDD-475E-B248-353F8BA9A0CF
