item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender
,Abednico Bhebhe,Q1146616,MDC-T,,Nkayi South,,,male
,Abednico Ncube,Q1910161,ZANU PF,,Gwanda South,,,male
,Abigail Damasane,Q1910161,ZANU PF,,Matebeleland South,,,female
,Adam Chimwamurombe,Q1910161,ZANU PF,,Chipinge West,,,male
,Albert Mhlanga,Q1146616,MDC-T,,Pumula,,,male
,Aldrin Musiiwa,Q1910161,ZANU PF,,Chakari,,,male
,Alexio Musundire,Q1146616,MDC-T,,Zengeza East,,,male
,Alfred Mufunga,Q1910161,ZANU PF,,Muzarabani North,,,male
Q4741842,Ambrose Mutinhiri,Q1910161,ZANU PF,,Marondera West,,,male
Q4747917,Amos Midzi,Q1910161,ZANU PF,,Epworth,,,male
,Anastancia Ndhlovu,Q1910161,ZANU PF,,Midlands,,,female
Q4757697,Andrew Langa,Q1910161,ZANU PF,,Insizo North,,,male
,Anele Ndebele,Q1146616,MDC-T,,Magwegwe,,,male
,Aqualina Katsande,Q1910161,ZANU PF,,Mudzi West,,,female
Q4795279,Arnold Tsunga,Q1146616,MDC-T,,Dangamvura-Chikanga,,,male
,Batsirayi Pemhenayi,Q1910161,ZANU PF,,Mutare North,,,male
,Bekithemba Mpofu,Q1910161,ZANU PF,,Hwange West,,,male
,Bekithemba Nyathi,Q1146616,MDC-T,,Pelandaba-Mpopoma,,,male
,Berta Chikwama,Q1910161,ZANU PF,,Gutu East,,,female
,Biata B. Nyamupinga,Q1910161,ZANU PF,,Goromonzi West,,,female
,Biggie J. Matiza,Q1910161,ZANU PF,,Murehwa South,,,male
,Blessed Runesu,Q1910161,ZANU PF,,Sanyati,,,male
,Cephas Sindi,Q1910161,ZANU PF,,Gokwe-Chireya,,,male
,Chenayimoyo D. Francis Nhema,Q1910161,ZANU PF,,Shurugwi North,,,male
,Christopher Chigumba,Q1910161,ZANU PF,,Chutungwiza South,,,male
,Christopher Chitindi,Q1910161,ZANU PF,,Muzarabani south,,,male
Q32534048,Christopher Kuruneri,Q1910161,ZANU PF,,Mt Darwin East,,,male
Q5107550,Christopher Mushohwe,Q1910161,ZANU PF,,Mutare West,,,male
Q43266691,Christopher Mutsvangwa,Q1910161,ZANU PF,,Norton,,,male
,Chriswell Mutematsaka,Q1910161,ZANU PF,,Guruve South,,,male
,Chuma K. Bhasikiti,Q1910161,ZANU PF,,Mwenezi East,,,male
,Clifford Sibanda,Q1910161,ZANU PF,,Bubi,,,male
,Costa Machingauta,Q1146616,MDC-T,,Budiriro,,,male
,Daniel M. Ncube,Q1910161,ZANU PF,,Zhombe,,,male
Q5218758,Daniel Shumba,Q1910161,ZANU PF,,Masvingo Urban,,,male
Q5231960,David Butau,Q1910161,ZANU PF,,Mbire,,,male
,David Chapfika,Q1910161,ZANU PF,,Mutoko South,,,male
,Davis Marapira,Q1910161,ZANU PF,,Masvingo North,,,male
,Denford Masiya,Q1910161,ZANU PF,,Chiredzi East,,,male
,Dextor T. Nduna,Q1910161,ZANU PF,,Chegutu West,,,male
Q5274292,Didymus Mutasa,Q1910161,ZANU PF,,Headlands,,,male
,Dingilizwe Tshuma,Q1146616,MDC-T,,EmaKhandeni-Entumbane,,,male
,Dorcas Sibanda,Q1146616,MDC-T,,Bulawayo Central,,,female
,Dorothy Mangami,Q1910161,ZANU PF,,Gokwe,,,female
,Dubeko Sibanda,Q1146616,MDC-T,,Binga North,,,male
,Edgar Chidavaenzi,Q1910161,ZANU PF,,Mazowe North,,,male
,Edgar Mbwembwe,Q1910161,ZANU PF,,Chikomba East,,,male
,Edmond Mhere,Q1910161,ZANU PF,,Masvingo Central,,,male
,Edson Gumbo,Q1910161,ZANU PF,,Gwanda Central,,,male
,Enock Porusingazi,Q1910161,ZANU PF,,Chipinge South,,,male
,Ephraim Gwanonodza,Q1910161,ZANU PF,,Chivi Central,,,male
,Epmarcus Kanhanga,Q1910161,ZANU PF,,Guruve North,,,male
,Erick Murai,Q1146616,MDC-T,,Highfield East,,,male
,Ezira Ruvai,Q1910161,ZANU PF,,Masvingo West,,,male
,Fani Phanuel Phiri,Q1910161,ZANU PF,,Kadoma Central,,,male
,Felix Mhona,Q1910161,ZANU PF,,Chikomba Central,,,male
Q16195944,Fortune Chasi,Q1910161,ZANU PF,,Mazowe South,,,male
,Francis Muchenje,Q1910161,ZANU PF,,Makoni North,,,male
,Francis Mukwangwariwa,Q1910161,ZANU PF,,Zvimba East,,,male
,Fred Moyo,Q1910161,ZANU PF,,Zvishavane-Runde,,,male
,Fungai J Majome,Q1146616,MDC-T,,Harare West,,,female
,Getrude Chibagu,Q1910161,ZANU PF,,Mashonaland central,,,female
,Getrude Hungwa,Q1910161,ZANU PF,,Mashonaland East,,,female
,Gift Chimanikire,Q1146616,MDC-T,,Southerton,,,male
,Gladys Mathe,Q1146616,MDC-T,,,,,female
,Godfrey Beremauro,Q1910161,ZANU PF,,Hurungwe Central,,,male
,Godfrey Gandawa,Q1910161,ZANU PF,,Magunje,,,male
,Godfrey N Malaba,Q1910161,ZANU PF,,Pumula,2015-06-17,,male
,Godfrey Sithole,Q1146616,MDC-T,,Chitungwiza North,,,male
Q5584672,Gorden Moyo,Q1146616,MDC-T,,Makokoba,,,male
,Harris Ncube,Q1910161,ZANU PF,,Redcliff,,,male
,Hazvineyi Z Makari,,unknown,,Epworth,2015-10-21,,
Q5927511,Hubert Nyanhongo,Q1910161,ZANU PF,,Nyanga North,,,male
Q16151660,Ignatius Chombo,Q1910161,ZANU PF,,Zvimba North,,,male
,Innocent Gonese,Q1146616,MDC-T,,Mutare Central,,,male
,Innocent Pedzisai,Q1910161,ZANU PF,,Chirumanzu,,,male
,Irene Zindi,Q1910161,ZANU PF,,Mutasa South,,,female
,Iris Chiratidzo Mabuwa,Q1910161,ZANU PF,,Mberengwa South,,,female
,Isaac Mackenzie,Q1910161,ZANU PF,,Kariba,,,male
Q58007739,Jacob Mudenda,Q1910161,ZANU PF,,,,,male
