item,itemLabel,startDate,endDate,sourceDate,psid
Q25697807,Kumbirai Kangai,1994,2000,,Q25697807-236EE929-4D5A-4F21-9263-6423D54A3301
Q6285211,Joseph Made,2000,2007,,Q6285211-ADDD6A62-5761-4A4F-838A-E9B0E11C0BF9
Q7378129,Rugare Gumbo,2007,2009,,Q7378129-783DD828-2BAD-4D45-829A-19D691D5A706
Q7660812,Sylvester Nguni,2009,2009,,Q7660812-7C573C50-B543-4758-AED5-AADEF4D35D3F
Q3133488,Herbert Murerwa,2009-02-13,2017-11-27,,Q3133488-482F0C33-9DC9-4D4A-92B5-D8DD2DD85C11
Q6285211,Joseph Made,2009-02-13,2017-11-27,,Q6285211-8721AF4F-C305-424C-836F-843A7BA87354
Q7167845,Perence Shiri,2017-11-30,2020-07-27,,Q7167845-4c59c2bf-43c5-0dcf-ced8-05294a662ddf
Q99237454,Anxious Jongwe Masuka,2020-08-14,,,Q99237454-496BF13F-C234-442E-A2F4-FFED619D91E3
